account_id,month,active_days,workflows_run,workflows_errored,seats_used,support_tickets,support_ticket_category
acc_000013,2024-03-01,9,979,33,8,0,none
acc_000013,2024-04-01,16,1002,16,6,0,none
acc_000013,2024-05-01,15,928,49,3,1,product
acc_000013,2024-05-01,20,986,112,4,0,none
acc_000013,2024-06-01,12,947,144,5,0,none
acc_000014,2024-03-01,3,74,6,1,0,none
acc_000014,2024-04-01,2,43,0,1,0,none
acc_000014,2024-05-01,3,37,5,1,0,none
acc_000014,2024-05-01,3,87,10,1,0,none
acc_000014,2024-06-01,4,79,4,1,1,product
acc_000015,2024-05-01,5,173,45,1,0,none
acc_000015,2024-05-01,11,149,20,1,0,none
acc_000015,2024-06-01,6,158,13,1,1,product
acc_000016,2023-06-01,10,158,15,1,0,none
acc_000016,2023-07-01,6,157,3,1,0,none
acc_000016,2023-08-01,6,180,9,1,0,none
acc_000016,2023-09-01,12,151,1,1,0,none
acc_000016,2023-10-01,16,157,18,3,0,none
acc_000016,2023-11-01,10,163,9,1,0,none
acc_000016,2023-12-01,8,194,3,1,1,product
acc_000016,2024-01-01,9,160,8,2,0,none
acc_000016,2024-02-01,6,137,6,1,0,none
acc_000016,2024-03-01,11,164,5,2,0,none
acc_000016,2024-04-01,11,165,19,1,1,billing
acc_000016,2024-05-01,10,157,6,1,0,none
acc_000016,2024-05-01,3,168,8,3,0,none
acc_000016,2024-06-01,6,122,12,1,0,none
acc_000017,2024-03-01,12,754,84,1,0,none
acc_000017,2024-04-01,13,765,70,9,0,none
acc_000017,2024-05-01,11,755,23,6,0,none
acc_000017,2024-05-01,9,695,13,9,0,none
acc_000017,2024-06-01,8,724,60,8,0,none
acc_000018,2023-10-01,16,948,220,6,0,none
acc_000018,2023-11-01,15,935,173,11,0,none
acc_000018,2023-12-01,19,910,29,8,0,none
acc_000018,2024-01-01,13,969,56,10,0,none
acc_000018,2024-02-01,23,933,17,10,0,none
acc_000018,2024-03-01,22,1022,77,7,0,none
acc_000018,2024-04-01,15,939,183,9,0,none
acc_000018,2024-05-01,12,957,18,9,0,none
acc_000018,2024-05-01,17,970,82,6,0,none
acc_000018,2024-06-01,15,967,65,2,0,none
acc_000019,2024-06-01,9,943,272,7,1,billing
acc_000020,2023-05-01,11,730,88,6,0,none
acc_000020,2023-06-01,7,715,86,5,0,none
acc_000020,2023-07-01,9,759,43,6,0,none
acc_000020,2023-08-01,6,747,108,4,0,none
acc_000020,2023-09-01,8,714,48,6,1,product
acc_000020,2023-10-01,6,714,96,8,0,none
acc_000020,2023-11-01,13,738,50,7,0,none
acc_000020,2023-12-01,15,718,110,6,0,none
acc_000020,2024-01-01,8,707,13,9,0,none
acc_000020,2024-02-01,8,704,29,5,0,none
acc_000020,2024-03-01,14,740,37,6,1,product
acc_000020,2024-04-01,14,689,69,2,0,none
acc_000020,2024-05-01,3,731,72,5,0,none
acc_000020,2024-05-01,10,812,42,3,0,none
acc_000020,2024-06-01,9,717,32,5,0,none
acc_000021,2024-01-01,20,1229,158,9,0,none
acc_000021,2024-02-01,12,1213,140,6,0,none
acc_000021,2024-03-01,19,1200,117,11,0,none
acc_000021,2024-04-01,10,1166,31,12,0,none
acc_000021,2024-05-01,21,1193,14,4,0,none
acc_000021,2024-05-01,19,1247,39,4,1,product
acc_000021,2024-06-01,18,1272,289,10,0,none
acc_000022,2024-02-01,16,994,46,9,0,none
acc_000022,2024-03-01,15,985,66,10,0,none
acc_000022,2024-04-01,19,980,73,3,0,none
acc_000022,2024-05-01,24,992,30,7,0,none
acc_000022,2024-05-01,13,945,65,6,1,integration
acc_000022,2024-06-01,12,974,33,3,0,none
acc_000023,2024-03-01,8,115,10,1,0,none
acc_000023,2024-04-01,6,136,8,1,0,none
acc_000023,2024-05-01,4,122,1,1,1,integration
acc_000023,2024-05-01,11,112,16,2,1,billing
acc_000023,2024-06-01,10,120,25,1,1,billing
acc_000024,2024-05-01,8,671,42,3,0,none
acc_000024,2024-06-01,7,680,67,2,0,none
acc_000025,2024-05-01,7,983,126,7,0,none
acc_000025,2024-05-01,13,967,51,7,1,product
acc_000025,2024-06-01,16,989,153,4,0,none
acc_000026,2023-07-01,12,749,17,4,0,none
acc_000026,2023-08-01,11,700,20,3,0,none
acc_000026,2023-09-01,16,733,50,7,0,none
acc_000026,2023-10-01,11,710,16,3,0,none
acc_000026,2023-11-01,12,667,78,5,0,none
acc_000026,2023-12-01,13,733,22,3,0,none
acc_000026,2024-01-01,20,724,54,4,0,none
acc_000026,2024-02-01,6,734,95,5,1,billing
acc_000026,2024-03-01,10,734,28,11,0,none
acc_000026,2024-04-01,10,713,97,7,0,none
acc_000026,2024-05-01,11,733,34,6,0,none
acc_000026,2024-05-01,8,723,60,2,0,none
acc_000026,2024-06-01,10,767,30,6,0,none
acc_000027,2023-05-01,14,708,25,9,0,none
acc_000027,2023-06-01,7,713,110,6,1,product
acc_000027,2023-07-01,8,670,67,9,0,none
acc_000027,2023-08-01,15,699,38,4,0,none
acc_000027,2023-09-01,12,736,34,2,1,billing
acc_000027,2023-10-01,10,678,41,5,0,none
acc_000027,2023-11-01,11,691,39,5,0,none
acc_000027,2023-12-01,8,738,14,7,0,none
acc_000027,2024-01-01,11,696,47,8,0,none
acc_000027,2024-02-01,8,787,48,4,0,none
acc_000027,2024-03-01,10,783,71,5,0,none
acc_000027,2024-04-01,11,754,32,3,0,none
acc_000027,2024-05-01,8,729,62,5,0,none
acc_000027,2024-05-01,19,726,48,3,0,none
acc_000027,2024-06-01,12,707,6,4,0,none
acc_000028,2024-04-01,9,124,39,1,1,product
acc_000028,2024-05-01,5,105,6,2,0,none
acc_000028,2024-05-01,7,124,32,1,0,none
acc_000028,2024-06-01,6,115,9,1,0,none
acc_000029,2024-06-01,8,162,54,3,0,none
acc_000030,2024-05-01,5,73,12,1,1,integration
acc_000030,2024-05-01,1,46,2,1,0,none
acc_000030,2024-06-01,3,41,0,1,1,product
acc_000031,2024-01-01,23,3962,749,13,1,product
acc_000031,2024-02-01,21,4052,242,17,0,none
acc_000031,2024-03-01,19,4016,1100,13,0,none
acc_000031,2024-04-01,24,4042,369,32,0,none
acc_000031,2024-05-01,12,3953,778,13,0,none
acc_000031,2024-05-01,15,4039,136,22,0,none
acc_000031,2024-06-01,17,3989,1227,18,0,none
acc_000032,2023-07-01,6,90,13,1,1,billing
acc_000032,2023-08-01,2,47,5,1,0,none
acc_000032,2023-09-01,3,32,7,1,0,none
acc_000032,2023-10-01,6,94,9,1,0,none
acc_000032,2023-11-01,5,81,1,1,0,none
acc_000032,2023-12-01,6,84,19,1,0,none
acc_000032,2024-01-01,6,63,7,2,0,none
acc_000032,2024-02-01,6,79,15,1,0,none
acc_000032,2024-03-01,2,97,4,2,0,none
acc_000032,2024-04-01,6,82,11,1,0,none
acc_000032,2024-05-01,5,64,16,2,0,none
acc_000032,2024-05-01,6,75,4,1,0,none
acc_000032,2024-06-01,7,82,45,1,0,none
acc_000033,2023-06-01,8,754,131,5,0,none
acc_000033,2023-07-01,17,706,63,6,0,none
acc_000033,2023-08-01,9,736,50,5,0,none
acc_000033,2023-09-01,7,735,37,3,0,none
acc_000033,2023-10-01,8,711,27,6,0,none
acc_000033,2023-11-01,9,781,18,4,0,none
acc_000033,2023-12-01,13,747,34,4,0,none
acc_000033,2024-01-01,7,724,44,3,0,none
acc_000033,2024-02-01,7,723,13,5,0,none
acc_000033,2024-03-01,11,685,127,9,0,none
acc_000033,2024-04-01,13,715,69,3,0,none
acc_000033,2024-05-01,12,733,107,2,0,none
acc_000033,2024-05-01,3,711,72,9,0,none
acc_000033,2024-06-01,5,703,67,7,0,none
acc_000034,2024-03-01,11,150,14,3,0,none
acc_000034,2024-04-01,7,184,17,1,0,none
acc_000034,2024-05-01,16,150,6,1,0,none
acc_000034,2024-05-01,11,150,43,2,0,none
acc_000034,2024-06-01,12,131,16,1,0,none
acc_000035,2024-05-01,6,716,82,10,0,none
acc_000035,2024-06-01,8,710,41,2,0,none
acc_000036,2023-05-01,12,3033,586,15,0,none
acc_000036,2023-06-01,16,2957,124,13,0,none
acc_000036,2023-07-01,16,2918,76,13,1,product
acc_000036,2023-08-01,13,3008,344,8,0,none
acc_000036,2023-09-01,15,2924,108,11,1,product
acc_000036,2023-10-01,20,2973,322,16,0,none
acc_000036,2023-11-01,13,2952,386,11,0,none
acc_000036,2023-12-01,14,3029,273,17,0,none
acc_000036,2024-01-01,13,2954,47,10,0,none
acc_000036,2024-02-01,16,3009,50,17,0,none
acc_000036,2024-03-01,14,3008,306,14,1,integration
acc_000036,2024-04-01,17,3046,270,20,1,product
acc_000036,2024-05-01,13,2824,552,23,0,none
acc_000036,2024-05-01,21,3081,472,20,0,none
acc_000036,2024-06-01,18,2973,329,18,0,none
acc_000037,2024-05-01,5,131,23,1,0,none
acc_000037,2024-05-01,9,110,16,2,0,none
acc_000037,2024-06-01,3,118,20,1,0,none
acc_000038,2023-12-01,24,5011,2107,33,0,none
acc_000038,2024-01-01,28,5111,913,19,1,product
acc_000038,2024-02-01,28,5046,430,17,0,none
acc_000038,2024-03-01,27,4965,255,23,0,none
acc_000038,2024-04-01,20,4970,465,25,0,none
acc_000038,2024-05-01,24,4890,267,28,0,none
acc_000038,2024-05-01,19,4963,513,20,1,product
acc_000038,2024-06-01,28,4867,592,12,0,none
acc_000039,2024-04-01,16,981,231,11,0,none
acc_000039,2024-05-01,12,957,41,6,0,none
acc_000039,2024-05-01,13,1009,60,3,0,none
acc_000039,2024-06-01,8,977,184,7,0,none
acc_000040,2024-06-01,26,4008,26,19,0,none
acc_000041,2023-11-01,5,131,5,3,0,none
acc_000041,2023-12-01,5,126,4,1,0,none
acc_000041,2024-01-01,7,122,1,1,0,none
acc_000041,2024-02-01,3,121,7,1,0,none
acc_000041,2024-03-01,6,114,8,1,0,none
acc_000041,2024-04-01,6,117,5,1,0,none
acc_000041,2024-05-01,11,129,5,1,1,integration
acc_000041,2024-05-01,6,119,5,1,0,none
acc_000041,2024-06-01,10,114,8,1,0,none
acc_000042,2024-05-01,3,74,14,1,0,none
acc_000042,2024-05-01,4,41,5,1,0,none
acc_000042,2024-06-01,2,54,6,1,0,none
acc_000043,2023-08-01,18,1224,65,13,0,none
acc_000043,2023-09-01,20,1199,24,7,0,none
acc_000043,2023-10-01,20,1203,99,11,0,none
acc_000043,2023-11-01,18,1268,68,12,0,none
acc_000043,2023-12-01,18,1140,158,8,0,none
acc_000043,2024-01-01,9,1219,123,8,1,product
acc_000043,2024-02-01,17,1265,72,10,0,none
acc_000043,2024-03-01,17,1174,78,8,0,none
acc_000043,2024-04-01,15,1150,97,8,0,none
acc_000043,2024-05-01,18,1239,86,11,0,none
acc_000043,2024-05-01,19,1187,34,14,0,none
acc_000043,2024-06-01,15,1161,161,6,0,none
acc_000044,2024-03-01,12,735,315,5,0,none
acc_000044,2024-04-01,10,699,191,6,0,none
acc_000044,2024-05-01,10,694,21,5,1,product
acc_000044,2024-05-01,18,730,19,8,0,none
acc_000044,2024-06-01,11,719,37,8,0,none
acc_000045,2023-05-01,13,152,35,1,0,none
acc_000045,2023-06-01,6,168,2,1,0,none
acc_000045,2023-07-01,12,170,6,3,0,none
acc_000045,2023-08-01,5,177,5,1,0,none
acc_000045,2023-09-01,12,143,3,2,1,product
acc_000045,2023-10-01,10,176,22,1,0,none
acc_000045,2023-11-01,7,179,24,1,0,none
acc_000045,2023-12-01,11,177,4,1,0,none
acc_000045,2024-01-01,12,178,3,1,0,none
acc_000045,2024-02-01,12,166,9,2,0,none
acc_000045,2024-03-01,9,156,16,1,0,none
acc_000045,2024-04-01,11,141,1,2,1,billing
acc_000045,2024-05-01,11,122,4,1,0,none
acc_000045,2024-05-01,15,151,2,1,0,none
acc_000045,2024-06-01,12,141,1,1,0,none
acc_000046,2024-04-01,8,132,7,2,0,none
acc_000046,2024-05-01,7,114,16,1,0,none
acc_000046,2024-05-01,6,121,11,2,0,none
acc_000046,2024-06-01,7,134,2,1,0,none
acc_000047,2024-03-01,12,154,18,1,0,billing
acc_000047,2024-04-01,9,157,7,1,0,none
acc_000047,2024-05-01,13,155,13,2,0,none
acc_000047,2024-05-01,14,168,7,1,0,none
acc_000047,2024-06-01,8,183,26,3,0,none
acc_000048,2023-08-01,9,711,93,6,1,integration
acc_000048,2023-09-01,13,745,110,4,0,none
acc_000048,2023-10-01,12,723,144,6,0,none
acc_000048,2023-11-01,11,755,112,9,0,none
acc_000048,2023-12-01,12,717,121,6,1,integration
acc_000048,2024-01-01,11,718,171,5,0,none
acc_000048,2024-02-01,8,695,11,3,0,none
acc_000048,2024-03-01,13,748,89,5,0,none
acc_000048,2024-04-01,9,631,25,3,0,none
acc_000048,2024-05-01,10,720,70,4,0,none
acc_000048,2024-05-01,8,699,61,7,0,none
acc_000048,2024-06-01,11,731,105,4,0,none
acc_000049,2023-05-01,11,509,38,3,0,none
acc_000049,2023-06-01,1,252,27,4,0,none
acc_000049,2023-07-01,4,269,30,5,0,none
acc_000049,2023-08-01,10,489,127,3,0,none
acc_000049,2023-09-01,5,492,37,2,0,none
acc_000049,2023-10-01,14,449,45,2,0,none
acc_000049,2023-11-01,9,461,58,2,0,none
acc_000049,2023-12-01,10,468,36,3,1,integration
acc_000049,2024-01-01,11,493,7,1,0,none
acc_000049,2024-02-01,11,497,36,5,0,none
acc_000049,2024-03-01,8,453,19,3,0,none
acc_000049,2024-04-01,6,475,87,5,1,integration
acc_000049,2024-05-01,7,446,59,4,0,none
acc_000049,2024-05-01,7,448,34,5,0,none
acc_000049,2024-06-01,11,473,51,6,0,none
acc_000050,2023-09-01,16,206,9,1,1,product
acc_000050,2023-10-01,16,202,5,1,1,product
acc_000050,2023-11-01,11,210,7,1,0,none
acc_000050,2023-12-01,9,200,16,1,1,billing
acc_000050,2024-01-01,12,222,31,1,0,none
acc_000050,2024-02-01,9,196,38,1,0,none
acc_000050,2024-03-01,11,189,16,1,0,none
acc_000050,2024-04-01,11,178,17,2,0,none
acc_000050,2024-05-01,14,186,14,2,0,none
acc_000050,2024-05-01,7,211,18,1,0,none
acc_000050,2024-06-01,14,208,8,3,0,none
acc_000051,2024-03-01,8,142,8,3,1,integration
acc_000051,2024-04-01,11,164,13,3,0,none
acc_000051,2024-05-01,7,155,4,1,0,none
acc_000051,2024-05-01,10,154,30,2,0,none
acc_000051,2024-06-01,10,153,28,1,0,none
acc_000052,2024-06-01,15,990,210,3,0,billing
acc_000053,2023-07-01,8,136,20,1,0,none
acc_000053,2023-08-01,2,131,4,1,1,product
acc_000053,2023-09-01,7,131,4,2,0,none
acc_000053,2023-10-01,6,113,5,1,1,product
acc_000053,2023-11-01,5,106,12,2,0,none
acc_000053,2023-12-01,5,112,1,1,0,none
acc_000053,2024-01-01,5,111,15,2,0,none
acc_000053,2024-02-01,6,115,5,1,0,none
acc_000053,2024-03-01,10,106,5,1,0,none
acc_000053,2024-04-01,7,112,8,2,0,none
acc_000053,2024-05-01,13,115,12,1,1,product
acc_000053,2024-05-01,7,118,5,1,0,none
acc_000053,2024-06-01,7,110,8,1,0,none
acc_000054,2023-10-01,9,106,2,2,0,none
acc_000054,2023-11-01,4,121,11,1,0,none
acc_000054,2023-12-01,10,127,4,1,0,none
acc_000054,2024-01-01,11,120,4,1,0,none
acc_000054,2024-02-01,7,123,14,1,1,integration
acc_000054,2024-03-01,6,108,23,1,0,none
acc_000054,2024-04-01,12,129,6,1,0,none
acc_000054,2024-05-01,6,126,7,1,0,none
acc_000054,2024-05-01,6,120,4,1,1,integration
acc_000054,2024-06-01,4,118,6,2,0,none
acc_000055,2024-01-01,13,135,17,1,0,billing
acc_000055,2024-02-01,8,157,13,3,0,none
acc_000055,2024-03-01,10,170,9,2,1,integration
acc_000055,2024-04-01,8,180,12,1,0,none
acc_000055,2024-05-01,13,182,18,3,0,none
acc_000055,2024-05-01,15,154,13,2,0,none
acc_000055,2024-06-01,5,148,3,1,0,none
acc_000056,2024-03-01,19,1018,114,5,0,none
acc_000056,2024-04-01,12,961,80,4,0,none
acc_000056,2024-05-01,28,1006,273,3,0,none
acc_000056,2024-05-01,16,929,76,5,0,none
acc_000056,2024-06-01,13,1030,9,5,1,product
acc_000057,2023-07-01,2,78,14,1,0,none
acc_000057,2023-08-01,4,46,6,1,0,none
acc_000057,2023-09-01,4,36,2,1,0,none
acc_000057,2023-10-01,4,76,1,3,0,none
acc_000057,2023-11-01,6,76,1,1,1,product
acc_000057,2023-12-01,5,75,1,1,0,none
acc_000057,2024-01-01,12,70,5,1,0,none
acc_000057,2024-02-01,7,81,1,3,0,none
acc_000057,2024-03-01,6,79,8,1,0,none
acc_000057,2024-04-01,6,68,1,1,0,none
acc_000057,2024-05-01,9,97,5,1,0,none
acc_000057,2024-05-01,9,72,0,1,0,none
acc_000057,2024-06-01,5,75,10,1,1,integration
acc_000058,2023-05-01,19,3911,989,22,0,none
acc_000058,2023-06-01,17,3886,607,20,0,none
acc_000058,2023-07-01,19,3937,126,11,0,none
acc_000058,2023-08-01,15,4008,262,23,0,none
acc_000058,2023-09-01,21,4002,247,20,0,none
acc_000058,2023-10-01,16,3952,284,24,0,none
acc_000058,2023-11-01,17,4088,531,21,0,none
acc_000058,2023-12-01,25,3919,674,28,0,none
acc_000058,2024-01-01,14,4079,50,22,0,none
acc_000058,2024-02-01,25,4075,226,19,0,none
acc_000058,2024-03-01,24,3966,35,15,0,none
acc_000058,2024-04-01,18,4079,704,23,0,none
acc_000058,2024-05-01,11,4040,398,13,0,none
acc_000058,2024-05-01,17,4027,193,15,0,none
acc_000058,2024-06-01,28,4036,451,21,0,none
acc_000059,2023-08-01,6,158,20,3,1,product
acc_000059,2023-09-01,8,179,10,1,0,none
acc_000059,2023-10-01,9,175,4,1,0,none
acc_000059,2023-11-01,10,153,4,1,0,none
acc_000059,2023-12-01,15,143,11,1,0,none
acc_000059,2024-01-01,12,169,12,2,0,none
acc_000059,2024-02-01,12,151,13,1,1,integration
acc_000059,2024-03-01,7,149,13,2,0,none
acc_000059,2024-04-01,11,180,0,3,0,none
acc_000059,2024-05-01,11,164,2,1,1,product
acc_000059,2024-05-01,13,171,9,1,0,none
acc_000059,2024-06-01,12,167,9,3,0,none
acc_000060,2023-05-01,7,465,30,4,0,none
acc_000060,2023-06-01,3,271,13,1,0,none
acc_000060,2023-07-01,3,215,13,5,0,none
acc_000060,2023-08-01,12,478,55,7,0,none
acc_000060,2023-09-01,7,453,14,2,0,none
acc_000060,2023-10-01,9,430,20,4,1,integration
acc_000060,2023-11-01,6,510,21,7,0,none
acc_000060,2023-12-01,4,484,23,9,0,none
acc_000060,2024-01-01,8,473,14,1,0,none
acc_000060,2024-02-01,10,467,55,5,0,none
acc_000060,2024-03-01,5,492,60,4,0,none
acc_000060,2024-04-01,9,454,65,6,0,none
acc_000060,2024-05-01,10,480,29,5,0,none
acc_000060,2024-05-01,6,515,56,2,0,none
acc_000060,2024-06-01,3,487,26,3,0,none
acc_000061,2023-05-01,13,159,23,1,1,product
acc_000061,2023-06-01,9,156,25,2,0,none
acc_000061,2023-07-01,7,172,14,2,1,product
acc_000061,2023-08-01,11,176,3,2,0,none
acc_000061,2023-09-01,11,160,12,1,0,none
acc_000061,2023-10-01,9,166,13,3,0,none
acc_000061,2023-11-01,8,163,20,3,1,product
acc_000061,2023-12-01,9,158,11,3,0,none
acc_000061,2024-01-01,8,149,9,2,0,none
acc_000061,2024-02-01,13,165,9,2,0,none
acc_000061,2024-03-01,13,176,4,1,0,none
acc_000061,2024-04-01,10,149,25,1,0,none
acc_000061,2024-05-01,8,153,3,1,0,none
acc_000061,2024-05-01,7,174,11,3,0,none
acc_000061,2024-06-01,8,159,27,1,0,none
acc_000062,2023-05-01,8,191,20,1,0,none
acc_000062,2023-06-01,7,152,16,1,0,none
acc_000062,2023-07-01,10,144,13,1,0,none
acc_000062,2023-08-01,9,151,3,1,0,none
acc_000062,2023-09-01,11,153,12,3,0,none
acc_000062,2023-10-01,11,172,18,1,0,none
acc_000062,2023-11-01,8,166,7,1,0,none
acc_000062,2023-12-01,10,169,39,3,0,none
acc_000062,2024-01-01,10,165,37,1,0,none
acc_000062,2024-02-01,12,144,18,2,0,none
acc_000062,2024-03-01,9,166,20,1,0,none
acc_000062,2024-04-01,9,180,17,1,1,integration
acc_000062,2024-05-01,8,157,4,1,0,none
acc_000062,2024-05-01,11,157,41,1,0,none
acc_000062,2024-06-01,14,147,17,2,0,none
acc_000063,2023-05-01,24,1204,405,7,0,none
acc_000063,2023-06-01,19,1250,93,14,0,none
acc_000063,2023-07-01,23,1162,121,10,0,none
acc_000063,2023-08-01,21,1220,33,13,0,none
acc_000063,2023-09-01,21,1202,208,14,0,none
acc_000063,2023-10-01,20,1181,59,9,1,product
acc_000063,2023-11-01,27,1166,71,8,1,billing
acc_000063,2023-12-01,24,1187,42,11,0,none
acc_000063,2024-01-01,16,1189,133,7,0,none
acc_000063,2024-02-01,17,1202,20,9,0,none
acc_000063,2024-03-01,16,1180,31,12,0,none
acc_000063,2024-04-01,17,1250,33,13,0,none
acc_000063,2024-05-01,12,1195,89,9,0,none
acc_000063,2024-05-01,16,1242,127,4,0,none
acc_000063,2024-06-01,23,1250,67,3,0,none
acc_000064,2023-05-01,24,4873,251,26,0,none
acc_000064,2023-06-01,19,4973,64,25,0,none
acc_000064,2023-07-01,25,4937,392,20,0,none
acc_000064,2023-08-01,17,4963,498,31,0,none
acc_000064,2023-09-01,26,5078,468,22,0,none
acc_000064,2023-10-01,20,5005,410,17,0,none
acc_000064,2023-11-01,28,4873,48,17,0,none
