account_id,account_name,plan_tier,vertical,company_size,acquisition_channel,integration_count,account_age_days,contract_value_aud,churned_90d,upgraded_90d
acc_000078,Jones Inc,pro,finance,small,paid_search,1,520,18526.41,False,False
acc_000079,"Hensley, Powell and David",starter,revops,large,paid_search,1,98,4085.1,False,False
acc_000080,"Sanchez, Wheeler and Harvey",pro,mixed,mid,partner,1,486,13966.32,False,False
acc_000081,Sandoval-Cunningham,pro,mixed,small,partner,4,258,22149.75,False,True
acc_000082,Donovan-Harris,pro,revops,small,paid_search,7,356,10991.6,True,False
acc_000083,"Edwards, Baker and Anderson",pro,revops,small,referral,4,395,11143.11,False,True
acc_000084,"Evans, Stewart and Walton",starter,hr,mid,paid_search,0,148,2578.93,True,False
acc_000085,Smith PLC,starter,hr,small,referral,1,268,2696.79,False,True
acc_000086,"Ferrell, Jones and Lewis",starter,revops,large,outbound,1,386,1270.32,False,False
acc_000087,Anderson-Bailey,enterprise,revops,mid,partner,3,182,97812.76,False,False
acc_000088,Suarez LLC,pro,mixed,small,organic,2,309,20397.63,True,False
acc_000089,Moore-Bass,enterprise,revops,small,referral,0,229,60251.66,True,False
acc_000090,"Turner, Riggs and Roman",pro,revops,small,referral,2,95,23653.0,False,False
acc_000091,"Smith, Montoya and Evans",pro,mixed,mid,outbound,3,72,17569.49,False,False
acc_000092,"Garcia, Humphrey and Baker",starter,revops,small,referral,2,138,2836.92,False,False
acc_000093,Newton and Sons,starter,it_ops,small,partner,2,245,2108.18,False,False
acc_000094,Campbell-Clark,starter,finance,mid,partner,2,209,2007.2,False,False
acc_000095,Harris-Walters,starter,mixed,small,paid_search,2,156,1917.7,False,False
acc_000096,Wagner-King,starter,finance,small,outbound,1,318,4611.93,True,False
acc_000097,Davis Group,starter,hr,small,outbound,2,523,3892.53,False,False
acc_000098,Williams-Cook,starter,it_ops,large,paid_search,1,43,4543.99,True,False
acc_000099,Walsh LLC,pro,mixed,small,partner,3,131,7367.94,False,False
acc_000100,Figueroa PLC,pro,customer_success,small,organic,2,465,18316.66,True,False
acc_000101,"Patterson, Smith and Jones",pro,it_ops,mid,paid_search,2,302,13710.8,False,False
acc_000102,"Mckee, Gardner and Davenport",starter,revops,small,organic,1,451,2964.73,False,False
acc_000103,"Tran, Jordan and Williams",starter,hr,large,referral,2,108,2767.75,False,False
acc_000104,Nolan-Flynn,pro,mixed,small,organic,3,305,19943.55,True,False
acc_000105,Nolan and Sons,starter,it_ops,mid,referral,2,155,4190.63,False,False
acc_000106,"Wright, Garcia and Deleon",starter,mixed,small,referral,1,342,3605.48,False,False
acc_000107,Dickson-Brady,starter,revops,small,referral,2,211,4072.2,False,False
acc_000108,Hancock and Sons,starter,mixed,mid,paid_search,2,35,3059.86,True,False
acc_000109,Johnson-Doyle,starter,hr,small,outbound,2,153,3686.19,False,False
acc_000110,Patton-Jenkins,pro,revops,mid,paid_search,0,143,13279.22,False,False
acc_000111,"Shields, Cochran and Adams",starter,customer_success,small,outbound,1,206,2731.81,True,False
acc_000112,"Rodriguez, Brennan and Garrison",pro,hr,mid,paid_search,1,158,10149.68,False,False
acc_000113,Gonzalez Group,pro,hr,mid,partner,1,383,9332.7,False,False
acc_000114,Torres-Pope,starter,revops,mid,partner,2,298,3348.45,False,False
acc_000115,Walker Ltd,enterprise,it_ops,small,referral,1,184,31273.35,False,False
acc_000116,Ross LLC,pro,hr,large,outbound,2,387,22993.61,False,False
acc_000117,Rasmussen LLC,pro,it_ops,small,paid_search,3,175,14449.15,True,False
acc_000118,May-Ross,starter,finance,small,partner,2,274,1610.71,True,False
acc_000119,"Rivera, Johnson and Wiley",starter,revops,mid,outbound,2,107,1737.11,False,True
acc_000120,White-Estes,pro,hr,large,paid_search,7,421,13491.13,False,False
acc_000121,Johnson-Carlson,pro,customer_success,mid,referral,4,495,13968.98,False,False
acc_000122,Chandler-Edwards,pro,mixed,small,outbound,5,342,23281.96,False,False
acc_000123,"Joyce, Wilson and Lam",starter,it_ops,mid,paid_search,0,71,1765.41,False,False
acc_000124,Scott Ltd,starter,finance,small,referral,2,334,2891.68,False,False
acc_000125,Smith-Frost,starter,hr,small,organic,1,66,3674.59,False,False
acc_000126,"Mcdaniel, Bentley and Mclaughlin",enterprise,it_ops,mid,outbound,3,508,47803.73,False,False
acc_000127,Diaz Inc,starter,hr,small,paid_search,1,102,1457.08,True,False
acc_000128,"Mccall, Hanson and Alvarado",starter,hr,mid,outbound,2,177,2780.95,False,False
acc_000129,Cortez LLC,starter,hr,small,paid_search,1,306,2977.66,True,False
acc_000130,"Parker, Ortiz and Powell",starter,finance,small,referral,2,158,1293.11,False,True
acc_000131,Spencer-Lee,starter,customer_success,large,outbound,2,40,4798.46,False,False
acc_000132,"Bentley, Byrd and Orr",pro,hr,small,organic,3,270,15341.35,True,False
acc_000133,"Carroll, Sullivan and Bass",starter,hr,large,referral,2,446,2970.21,False,False
acc_000134,Mitchell-Jordan,starter,hr,small,outbound,2,469,1778.97,False,False
acc_000135,"Lawson, Morris and Ramos",starter,revops,mid,referral,2,419,3180.35,False,True
acc_000136,"Lewis, Kennedy and Santana",starter,hr,small,partner,2,236,4313.68,False,False
acc_000137,"Jackson, Miller and Robertson",pro,finance,large,referral,2,57,9376.49,False,False
acc_000138,"Harvey, Davis and Crane",starter,it_ops,mid,organic,1,134,2161.4,False,True
acc_000139,Chambers and Sons,starter,hr,large,referral,2,44,4703.33,False,False
acc_000140,Hernandez Inc,pro,hr,small,outbound,1,312,13343.83,False,False
acc_000141,Riggs PLC,starter,it_ops,small,partner,2,361,4195.72,False,False
acc_000142,Gibson Ltd,starter,customer_success,mid,paid_search,0,457,2937.0,False,False
acc_000143,"Lee, Horton and Snyder",starter,revops,small,paid_search,1,336,3029.67,False,False
acc_000144,Hernandez Ltd,pro,it_ops,small,organic,1,242,12117.75,True,False
acc_000145,Stafford Inc,pro,hr,small,organic,3,458,16564.88,False,False
acc_000146,Robinson-Brock,enterprise,revops,small,outbound,0,206,59919.6,True,False
acc_000147,"Holmes, Williams and Wright",pro,hr,large,organic,2,532,18554.97,False,False
acc_000148,Bryant Group,pro,hr,mid,paid_search,1,411,14513.57,False,False
acc_000149,"Schmidt, Hansen and Stewart",enterprise,revops,large,organic,2,363,118273.63,False,False
acc_000150,Salazar-Ball,starter,finance,mid,outbound,1,475,1561.31,False,False
acc_000151,"Simmons, Meadows and Griffin",pro,finance,large,paid_search,1,103,13379.62,True,False
acc_000152,Manning Group,pro,finance,mid,partner,5,203,17218.67,False,False
acc_000153,Green-Wright,starter,finance,small,outbound,2,303,2568.03,False,False
acc_000154,"Ramirez, Strickland and Washington",starter,customer_success,mid,organic,2,48,3422.85,False,False
acc_000155,Hill Inc,starter,customer_success,small,paid_search,2,76,2762.3,False,False
acc_000156,"Mitchell, Nelson and Flores",starter,customer_success,large,referral,1,385,2278.08,False,True
acc_000157,"Miller, Hernandez and Reyes",starter,hr,small,referral,1,250,1724.05,True,False
acc_000158,Mccarthy Inc,pro,revops,mid,paid_search,1,70,16970.85,False,False
acc_000159,Russell-Daniels,starter,customer_success,mid,outbound,0,148,2860.14,True,False
acc_000160,Brown-Wall,starter,hr,small,organic,2,491,2235.47,False,False
acc_000161,Stein-Silva,pro,finance,large,partner,3,183,17500.9,False,False
acc_000162,"Smith, Gilmore and Johnston",starter,hr,large,paid_search,2,226,4272.01,True,False
acc_000163,Smith-Bell,starter,revops,small,referral,2,388,2262.83,True,False
acc_000164,Castaneda-Ashley,enterprise,customer_success,small,outbound,3,381,100048.05,False,False
acc_000165,Medina-Navarro,enterprise,mixed,mid,organic,1,492,55757.47,False,False
acc_000166,"Hurst, Freeman and Nelson",pro,customer_success,small,outbound,3,347,10511.28,False,False
acc_000167,Johnson-Rogers,pro,it_ops,mid,paid_search,3,79,22261.27,False,False
acc_000168,"Yates, Ramsey and Pittman",pro,hr,small,outbound,0,404,8365.41,True,False
acc_000169,Hooper PLC,enterprise,hr,small,paid_search,3,432,78546.7,False,False
acc_000170,Meadows PLC,enterprise,revops,large,organic,5,161,112264.41,True,False
acc_000171,"Alvarado, Miller and Patterson",enterprise,mixed,small,organic,0,441,40365.27,False,False
acc_000172,White-Green,enterprise,finance,large,organic,1,400,90696.56,False,False
acc_000173,Lewis-Murphy,starter,it_ops,mid,paid_search,2,232,1250.11,False,True
acc_000174,Ramirez-Bean,pro,revops,mid,outbound,3,329,12858.46,False,False
acc_000175,King-Miller,pro,hr,mid,referral,3,347,21916.23,False,False
acc_000176,Curry Inc,pro,mixed,small,paid_search,2,451,14356.82,False,False
acc_000177,Walker-Jones,pro,customer_success,small,paid_search,3,49,11478.56,True,False
acc_000178,"Williams, Johnson and Wright",starter,finance,large,paid_search,2,262,2535.64,False,False
acc_000179,Howell and Sons,enterprise,customer_success,mid,outbound,3,402,43907.06,False,False
acc_000180,Wells Inc,starter,finance,mid,referral,2,517,2207.06,False,False
acc_000181,"Gould, Marshall and Scott",pro,hr,small,paid_search,2,215,7788.38,False,False
acc_000182,Jackson-Lawson,pro,revops,large,referral,5,233,10965.87,False,False
acc_000183,"Higgins, Strickland and Martin",enterprise,mixed,mid,paid_search,3,138,87753.4,False,False
acc_000184,Rodriguez-Johnson,pro,finance,mid,paid_search,5,94,20165.61,False,False
acc_000185,Johnston-Odonnell,starter,it_ops,mid,outbound,2,446,4330.9,False,False
acc_000186,Sanders-Espinoza,starter,finance,large,paid_search,2,469,4742.5,True,False
acc_000187,Vargas Ltd,enterprise,revops,mid,paid_search,1,473,32320.21,False,False
acc_000188,Garcia LLC,starter,it_ops,small,referral,0,119,2155.32,False,False
acc_000189,"Burke, Martinez and Riggs",starter,revops,small,paid_search,2,259,4000.86,False,False
acc_000190,Reed Group,pro,finance,mid,partner,0,52,19090.37,False,True
acc_000191,"Wood, Hunter and Peterson",enterprise,customer_success,small,outbound,4,45,35474.29,True,False
acc_000192,Short-Garcia,starter,revops,mid,referral,1,495,2796.82,False,False
acc_000193,Reid-Poole,enterprise,hr,small,paid_search,5,349,86976.91,False,False
acc_000194,"Hernandez, Thompson and Boyd",pro,hr,large,outbound,3,262,15099.92,False,False
acc_000195,"Nelson, Morton and Medina",starter,it_ops,small,outbound,2,479,3968.27,False,False
acc_000196,Marshall-Petersen,pro,hr,mid,paid_search,1,203,20893.55,False,False
acc_000197,"Adams, Christian and Rivas",starter,customer_success,small,referral,1,160,2547.48,False,True
acc_000198,Ramirez Group,starter,mixed,small,organic,2,77,2754.76,False,False
acc_000199,Christensen PLC,pro,hr,small,paid_search,5,519,16108.56,True,False
acc_000200,"Barnett, Rogers and Snyder",starter,finance,small,outbound,2,414,2722.57,False,False
acc_000201,White-Lewis,enterprise,finance,small,referral,2,83,82012.67,False,False
acc_000202,Peterson-Beard,starter,customer_success,small,paid_search,2,462,3202.56,False,False
acc_000203,"Beard, Peters and Black",starter,hr,small,referral,2,317,4708.37,True,False
acc_000204,Miller Ltd,pro,customer_success,mid,paid_search,1,505,17840.96,True,False
acc_000205,Freeman-Chang,pro,finance,small,organic,4,501,12116.84,False,True
acc_000206,"Alvarez, Joseph and West",starter,it_ops,mid,referral,0,102,3867.49,False,False
acc_000207,Davis and Sons,enterprise,finance,mid,referral,4,262,60680.64,False,False
acc_000208,Holt-Torres,starter,customer_success,mid,outbound,1,73,4380.03,False,False
acc_000209,"Wood, Tran and Cooper",starter,it_ops,small,paid_search,2,256,3582.98,True,False
acc_000210,"Pierce, Bell and Chavez",starter,revops,small,organic,2,88,2442.62,False,False
acc_000211,King-Martinez,starter,customer_success,mid,outbound,1,187,1363.5,False,False
acc_000212,Stewart Ltd,starter,revops,small,referral,1,138,3962.46,False,False
acc_000213,"Tapia, Vaughn and Lee",pro,hr,small,referral,2,250,9162.51,False,False
acc_000214,"Washington, Hardy and Bray",starter,customer_success,mid,organic,2,442,2475.0,False,False
acc_000215,"Carlson, Hooper and Wall",starter,customer_success,small,referral,2,69,4303.6,True,False
acc_000216,Perez-White,pro,revops,mid,referral,3,88,13290.58,False,True
acc_000217,Erickson and Sons,enterprise,finance,large,referral,3,383,112779.28,False,False
acc_000218,Williams-Brown,starter,it_ops,small,outbound,2,298,1483.13,True,False
acc_000219,Terry-Martinez,pro,customer_success,small,organic,3,69,15188.7,False,False
acc_000220,Garcia-Smith,starter,revops,large,referral,1,402,4649.6,False,False
acc_000221,Harrison-Alexander,pro,finance,small,paid_search,1,118,16843.18,False,False
acc_000222,Sheppard LLC,pro,customer_success,small,organic,3,282,14351.16,False,False
acc_000223,Wilson-Jones,pro,revops,mid,partner,3,359,17435.37,False,False
acc_000224,Jones-Soto,pro,it_ops,mid,paid_search,1,64,14440.58,False,False
acc_000225,Hernandez PLC,pro,it_ops,mid,referral,3,67,11587.34,False,False
acc_000226,Miller-Wright,starter,finance,large,paid_search,2,472,4718.53,False,False
acc_000227,"Duran, Obrien and Gibbs",starter,revops,small,outbound,1,518,4050.54,False,True
acc_000228,Rowe Group,enterprise,revops,mid,outbound,1,194,84450.53,False,False
acc_000229,Kerr-Evans,pro,mixed,mid,organic,2,458,12181.88,True,False
acc_000230,"Branch, Torres and Oliver",pro,revops,small,paid_search,4,254,23837.75,True,False
acc_000231,"Choi, Garcia and Farmer",pro,customer_success,small,partner,1,228,13357.85,False,False
acc_000232,"Clark, Guerrero and Moore",starter,revops,mid,outbound,1,63,2386.89,False,False
acc_000233,Arnold and Sons,pro,revops,small,organic,3,523,22314.17,False,False
acc_000234,Ortiz Ltd,pro,hr,mid,paid_search,3,209,11584.17,False,False
acc_000235,"Harrison, Johnson and Roberts",pro,customer_success,small,organic,4,73,11572.47,True,False
acc_000236,Warner-Gibson,starter,it_ops,mid,outbound,1,454,4609.59,False,False
acc_000237,"Hall, Baker and Moody",enterprise,mixed,small,outbound,3,290,62564.53,False,False
acc_000238,"Guerrero, Peck and Coleman",starter,finance,small,partner,2,278,1891.22,False,False
acc_000239,"Walker, Hernandez and Baker",enterprise,finance,small,organic,4,289,99378.72,False,False
acc_000240,Jones and Sons,pro,mixed,small,referral,2,422,17124.57,False,False
acc_000241,Larson-Holloway,pro,finance,small,outbound,0,349,20562.79,True,False
acc_000242,Gonzales-Harrison,starter,revops,small,outbound,2,151,4690.52,True,False
acc_000243,Lyons-Bender,pro,it_ops,mid,paid_search,2,152,11570.42,False,False
acc_000244,"Fernandez, Kim and George",pro,revops,large,referral,6,514,16267.55,False,True
acc_000245,Navarro-Munoz,starter,it_ops,mid,outbound,2,244,4678.57,True,False
acc_000246,Davis Ltd,pro,it_ops,small,paid_search,1,358,14650.63,True,False
acc_000247,"Matthews, Smith and Hubbard",starter,mixed,mid,outbound,2,93,2226.23,False,False
acc_000248,Johnston-Hines,pro,hr,large,paid_search,0,253,7650.84,False,False
acc_000249,Ruiz Ltd,enterprise,it_ops,large,partner,1,242,34793.12,False,False
acc_000250,Moon-White,pro,hr,large,referral,5,44,11736.33,False,False
acc_000251,"Graham, Olsen and Costa",starter,customer_success,small,paid_search,2,49,2232.77,False,False
acc_000252,Bailey-Cook,pro,customer_success,small,organic,4,259,17076.27,False,False
acc_000253,"Garcia, Martin and Jenkins",enterprise,finance,small,paid_search,4,511,95451.13,False,False
acc_000254,Roberts-Landry,pro,finance,small,referral,1,54,10291.91,False,True
acc_000255,"Johnson, Miller and King",pro,customer_success,small,organic,1,285,16741.3,False,False
acc_000256,Cordova Group,starter,revops,small,paid_search,2,249,1205.63,True,False
acc_000257,"Bryan, Smith and Booth",starter,revops,small,outbound,2,298,4708.76,False,False
acc_000258,Gutierrez-Lopez,starter,revops,mid,partner,2,313,1273.2,False,False
acc_000259,Dean-Jimenez,pro,finance,small,referral,1,412,6292.36,False,False
acc_000260,Wolf-Harris,pro,hr,mid,outbound,2,425,16474.26,False,False
acc_000261,"Anderson, Roberts and Gilmore",pro,finance,small,referral,4,359,9151.6,False,False
acc_000262,Martinez-Dudley,pro,revops,mid,outbound,6,445,8427.35,False,True
acc_000263,"Lloyd, Mckinney and Collins",pro,mixed,small,paid_search,1,435,9590.46,True,False
acc_000264,Tran Inc,starter,mixed,mid,partner,2,308,2904.24,True,False
acc_000265,Gay Inc,starter,customer_success,small,organic,2,54,4316.87,True,False
acc_000266,Valentine-Holland,starter,finance,small,partner,0,410,2783.05,False,False
acc_000267,Jimenez Ltd,enterprise,hr,small,outbound,2,218,113187.94,False,False
acc_000268,Hicks-Hill,pro,it_ops,mid,paid_search,1,338,23911.77,False,False
acc_000269,Baird-Sanchez,starter,hr,small,referral,2,181,2303.39,True,False
acc_000270,"Thomas, Lee and Greene",pro,revops,mid,referral,5,51,19082.66,False,True
acc_000271,"Suarez, Shields and Hill",enterprise,customer_success,small,outbound,7,435,115311.39,False,False
acc_000272,Morgan-French,starter,customer_success,small,organic,2,377,1775.95,False,False
acc_000273,Hoover-Campbell,starter,it_ops,mid,referral,2,94,1442.04,False,False
acc_000274,Monroe-Carpenter,pro,hr,small,outbound,2,339,8761.89,False,False
acc_000275,"Burns, Hernandez and Ryan",starter,hr,small,paid_search,2,100,3106.06,False,True
acc_000276,Cook-Hines,starter,customer_success,small,paid_search,2,406,1869.77,False,False
acc_000277,Gibson-Morris,pro,mixed,small,organic,3,390,14032.92,True,False
acc_000278,Pollard and Sons,enterprise,hr,large,referral,2,92,42215.56,False,False
acc_000279,"Reyes, Chase and Jenkins",starter,finance,mid,partner,2,444,3654.95,False,True
acc_000280,Garner-Thornton,pro,hr,small,paid_search,1,307,11226.52,False,False
acc_000281,Hughes-Alvarado,starter,finance,mid,organic,2,119,4057.31,False,True
acc_000282,"Pollard, Simpson and Johnson",pro,finance,small,paid_search,3,434,14892.39,False,False
acc_000283,"Sanford, Rivera and Garcia",starter,revops,mid,partner,2,96,3403.01,False,False
acc_000284,Garcia-Lozano,starter,hr,large,organic,2,299,2678.86,False,False
acc_000285,Bowen Group,starter,revops,small,referral,2,67,2819.91,False,False
acc_000286,"Booker, Jones and Harrington",pro,hr,large,organic,5,357,16580.15,False,True
acc_000287,Morgan-Schwartz,pro,finance,mid,organic,2,455,8234.9,False,False
acc_000288,"Miller, Murphy and Craig",starter,finance,small,organic,2,207,4610.94,False,False
acc_000289,"James, Stewart and Higgins",pro,hr,small,paid_search,1,519,15915.15,False,False
acc_000290,Brennan-Johnson,starter,hr,mid,outbound,2,116,3330.51,False,False
acc_000291,Young Ltd,pro,finance,mid,partner,3,202,21165.54,False,False
acc_000292,Bright-Francis,pro,it_ops,small,paid_search,2,358,19878.4,False,False
acc_000293,Good-Hodges,starter,hr,mid,outbound,1,45,2992.94,False,False
acc_000294,"Brennan, Wallace and Benson",pro,hr,large,referral,3,442,20532.29,False,False
acc_000295,Williams Inc,starter,revops,mid,paid_search,1,242,2943.3,True,False
acc_000296,Howard-Jordan,starter,customer_success,small,organic,2,405,4756.88,True,False
acc_000297,Schmidt PLC,starter,revops,mid,outbound,2,84,2348.82,False,False
acc_000298,"Sparks, Jackson and Miller",starter,hr,small,paid_search,1,178,4603.39,False,False
acc_000299,Harvey-Allen,pro,revops,large,partner,3,446,11893.84,False,False
acc_000300,"Thomas, Murray and King",pro,hr,mid,referral,1,293,14402.67,False,False
acc_000301,Estrada-Nolan,pro,revops,small,referral,4,264,23400.36,False,True
acc_000302,Santana-Byrd,starter,hr,small,referral,2,481,4234.26,False,False
acc_000303,Jones LLC,pro,hr,small,paid_search,3,98,21884.2,False,False
acc_000304,"Evans, Hayden and Vaughn",pro,it_ops,small,referral,0,321,16112.7,True,False
acc_000305,Bruce-Gonzalez,starter,hr,small,referral,2,311,2206.99,False,False
acc_000306,Castaneda-Rodriguez,enterprise,customer_success,small,partner,4,231,63587.85,False,False
acc_000307,Armstrong-Andrews,enterprise,revops,small,paid_search,1,338,75821.03,False,False
acc_000308,"Phillips, Spence and Barrett",pro,finance,small,referral,4,272,15347.99,False,False
acc_000309,Smith-Grimes,starter,mixed,small,partner,1,193,1785.01,False,False
acc_000310,"Beltran, Lozano and Mcgee",enterprise,customer_success,small,referral,1,454,75874.27,False,False
acc_000311,Parsons-Hall,starter,revops,mid,paid_search,0,199,3625.7,True,False
acc_000312,Robinson-Lee,enterprise,revops,mid,organic,4,382,86633.44,False,False
acc_000313,Byrd-Le,pro,hr,mid,partner,2,326,16397.42,False,False
acc_000314,"Becker, Taylor and Davis",pro,revops,small,outbound,5,347,19942.91,False,True
acc_000315,"Lucas, Parker and Alexander",starter,it_ops,small,outbound,1,388,1595.62,False,False
acc_000316,"Diaz, Anderson and Browning",starter,hr,small,outbound,2,240,3006.55,True,False
acc_000317,Burgess-Thompson,pro,revops,large,organic,4,391,8485.48,False,True
acc_000318,Buchanan LLC,starter,hr,mid,outbound,2,190,4644.07,False,False
acc_000319,"Shaw, Nelson and Martin",starter,revops,mid,outbound,2,474,3795.33,False,False
acc_000320,Coffey-Phillips,pro,customer_success,mid,paid_search,3,156,11022.12,False,True
acc_000321,Brock-Mcdonald,starter,mixed,large,organic,2,390,1946.2,False,False
acc_000322,Taylor and Sons,pro,hr,small,partner,3,437,18989.96,False,True
