account_id,month,courses_assigned,courses_completed,overdue_certifications,seats_used,support_tickets,support_ticket_category
acc_000007,2024-12-01,13,10,0,2,0,none
acc_000007,2025-01-01,13,8,1,1,0,none
acc_000007,2025-03-01,20,13,1,2,0,none
acc_000008,2024-12-01,84,63,11,5,0,none
acc_000008,2025-01-01,91,72,2,5,0,none
acc_000008,2025-03-01,136,118,6,4,0,none
acc_000009,2024-01-01,176,152,25,20,0,none
acc_000009,2024-02-01,166,139,10,16,0,none
acc_000009,2024-03-01,243,209,32,16,0,none
acc_000009,2024-04-01,220,160,30,18,0,none
acc_000009,2024-05-01,178,127,5,15,0,none
acc_000009,2024-06-01,150,125,21,20,0,none
acc_000009,2024-07-01,155,113,8,20,0,none
acc_000009,2024-08-01,155,124,11,17,1,none
acc_000009,2024-09-01,232,174,18,17,0,none
acc_000009,2024-10-01,282,245,8,11,0,none
acc_000009,2024-11-01,163,130,5,19,0,none
acc_000009,2024-12-01,134,105,3,10,0,none
acc_000009,2024-12-01,151,116,12,12,0,none
acc_000009,2025-01-01,122,85,10,14,0,none
acc_000009,2025-03-01,261,212,9,18,0,none
acc_000010,2024-01-01,54,46,2,5,0,none
acc_000010,2024-02-01,44,35,4,5,0,none
acc_000010,2024-03-01,86,73,9,4,0,none
acc_000010,2024-04-01,70,54,2,5,0,none
acc_000010,2024-05-01,47,46,1,4,0,none
acc_000010,2024-06-01,46,42,6,3,0,none
acc_000010,2024-07-01,49,41,2,4,0,none
acc_000010,2024-08-01,45,41,3,5,0,none
acc_000010,2024-09-01,70,52,10,3,0,none
acc_000010,2024-10-01,62,52,7,4,0,none
acc_000010,2024-11-01,47,44,1,3,0,none
acc_000010,2024-12-01,41,35,4,5,0,none
acc_000010,2024-12-01,40,37,3,3,1,integration
acc_000010,2025-01-01,51,41,5,5,0,none
acc_000010,2025-03-01,63,48,3,4,1,product
acc_000011,2024-01-01,267,212,8,5,0,none
acc_000011,2024-02-01,262,224,35,5,0,none
acc_000011,2024-03-01,409,303,14,9,0,none
acc_000011,2024-04-01,342,269,8,6,1,none
acc_000011,2024-05-01,217,165,25,6,0,none
acc_000011,2024-06-01,285,248,13,5,0,none
acc_000011,2024-07-01,266,206,28,7,0,none
acc_000011,2024-08-01,256,177,23,5,0,none
acc_000011,2024-09-01,434,367,53,5,0,none
acc_000011,2024-10-01,350,280,49,9,0,none
acc_000011,2024-11-01,227,170,30,5,0,none
acc_000011,2024-12-01,252,200,14,5,0,none
acc_000011,2024-12-01,242,191,14,9,0,none
acc_000011,2025-01-01,205,175,9,7,0,none
acc_000011,2025-03-01,349,293,15,5,0,none
acc_000012,2024-12-01,46,45,4,1,0,none
acc_000012,2025-01-01,33,32,1,1,0,none
acc_000012,2025-03-01,67,57,3,1,0,none
acc_000013,2024-01-01,11,10,0,1,0,none
acc_000013,2024-02-01,12,9,1,1,0,none
acc_000013,2024-03-01,21,15,2,1,0,none
acc_000013,2024-04-01,15,12,1,2,0,none
acc_000013,2024-05-01,12,9,0,1,0,none
acc_000013,2024-06-01,12,9,0,2,0,none
acc_000013,2024-07-01,11,9,0,2,0,none
acc_000013,2024-08-01,10,8,1,1,1,none
acc_000013,2024-09-01,18,14,1,1,0,none
acc_000013,2024-10-01,13,10,0,1,1,product
acc_000013,2024-11-01,13,12,0,1,0,none
acc_000013,2024-12-01,10,8,1,2,0,none
acc_000013,2024-12-01,12,10,1,1,1,none
acc_000013,2025-01-01,13,10,1,1,0,none
acc_000013,2025-03-01,21,17,1,1,0,none
acc_000014,2024-08-01,13,8,1,1,0,none
acc_000014,2024-09-01,21,15,1,2,0,none
acc_000014,2024-10-01,28,19,2,2,1,product
acc_000014,2024-11-01,13,10,0,2,1,product
acc_000014,2024-12-01,17,12,2,2,1,none
acc_000014,2024-12-01,17,11,2,2,0,none
acc_000014,2025-01-01,13,9,1,2,1,none
acc_000014,2025-03-01,24,19,1,2,0,none
acc_000015,2024-11-01,79,53,7,3,1,integration
acc_000015,2024-12-01,103,83,6,2,0,none
acc_000015,2024-12-01,102,68,12,3,1,integration
acc_000015,2025-01-01,81,62,10,2,0,none
acc_000015,2025-03-01,98,65,8,3,0,none
acc_000016,2024-01-01,87,62,12,4,0,none
acc_000016,2024-02-01,84,55,7,5,0,none
acc_000016,2024-03-01,120,89,16,4,0,none
acc_000016,2024-04-01,156,109,14,3,0,none
acc_000016,2024-05-01,73,50,6,4,0,none
acc_000016,2024-06-01,85,52,10,3,0,none
acc_000016,2024-07-01,63,44,9,4,1,product
acc_000016,2024-08-01,91,65,11,4,0,none
acc_000016,2024-09-01,125,87,6,4,0,none
acc_000016,2024-10-01,98,68,3,4,0,none
acc_000016,2024-11-01,76,55,4,5,1,product
acc_000016,2024-12-01,83,59,3,5,0,none
acc_000016,2024-12-01,68,50,4,3,0,none
acc_000016,2025-01-01,89,70,3,5,0,none
acc_000016,2025-03-01,132,87,5,3,0,none
acc_000017,2024-12-01,21,15,2,3,0,none
acc_000017,2025-01-01,24,22,1,3,0,none
acc_000017,2025-03-01,34,32,4,4,0,none
acc_000018,2024-01-01,67,59,5,7,0,none
acc_000018,2024-02-01,69,60,8,10,0,none
acc_000018,2024-03-01,96,82,9,11,1,product
acc_000018,2024-04-01,83,82,8,8,0,none
acc_000018,2024-05-01,83,82,6,6,0,none
acc_000018,2024-06-01,67,58,2,7,0,none
acc_000018,2024-07-01,79,78,10,8,0,none
acc_000018,2024-08-01,67,63,6,8,0,none
acc_000018,2024-09-01,90,78,5,6,0,none
acc_000018,2024-10-01,138,135,8,10,0,none
acc_000018,2024-11-01,62,54,4,10,1,integration
acc_000018,2024-12-01,82,73,8,8,0,none
acc_000018,2024-12-01,81,67,8,7,0,none
acc_000018,2025-01-01,73,62,2,11,0,none
acc_000018,2025-03-01,118,115,10,8,0,none
acc_000019,2024-01-01,18,17,2,2,1,product
acc_000019,2024-02-01,21,18,2,2,0,none
acc_000019,2024-03-01,30,29,3,2,0,none
acc_000019,2024-04-01,26,23,0,3,0,none
acc_000019,2024-05-01,22,20,2,3,1,product
acc_000019,2024-06-01,18,17,2,3,0,none
acc_000019,2024-07-01,17,16,1,3,1,product
acc_000019,2024-08-01,19,18,2,3,0,none
acc_000019,2024-09-01,26,25,2,2,0,none
acc_000019,2024-10-01,29,28,3,2,0,none
acc_000019,2024-11-01,21,20,0,2,0,none
acc_000019,2024-12-01,20,17,1,2,0,none
acc_000019,2024-12-01,18,17,2,3,0,none
acc_000019,2025-01-01,16,15,0,3,0,none
acc_000019,2025-03-01,21,20,1,3,0,none
acc_000020,2024-01-01,17,16,0,2,0,none
acc_000020,2024-02-01,15,12,0,3,0,none
acc_000020,2024-03-01,26,20,2,3,0,none
acc_000020,2024-04-01,24,19,2,2,0,none
acc_000020,2024-05-01,19,15,0,3,1,product
acc_000020,2024-06-01,15,14,1,3,0,none
acc_000020,2024-07-01,16,13,1,3,0,none
acc_000020,2024-08-01,19,16,2,2,0,none
acc_000020,2024-09-01,23,22,3,2,0,none
acc_000020,2024-10-01,25,23,2,3,0,none
acc_000020,2024-11-01,16,13,1,2,0,none
acc_000020,2024-12-01,17,15,2,2,0,none
acc_000020,2024-12-01,14,10,1,2,0,none
acc_000020,2025-01-01,15,13,0,2,0,none
acc_000020,2025-03-01,21,16,1,2,0,none
acc_000021,2024-01-01,249,153,19,19,0,none
acc_000021,2024-02-01,309,246,9,17,0,none
acc_000021,2024-03-01,495,399,21,19,0,none
acc_000021,2024-04-01,424,337,60,18,0,none
acc_000021,2024-05-01,215,173,31,18,0,none
acc_000021,2024-06-01,309,214,40,14,0,none
acc_000021,2024-07-01,264,173,27,16,1,integration
acc_000021,2024-08-01,288,235,42,12,0,none
acc_000021,2024-09-01,447,288,12,17,0,none
acc_000021,2024-10-01,426,297,30,19,1,product
acc_000021,2024-11-01,283,214,36,19,0,none
acc_000021,2024-12-01,261,159,7,12,0,none
acc_000021,2024-12-01,231,182,29,20,0,none
acc_000021,2025-01-01,270,194,14,15,0,none
acc_000021,2025-03-01,487,319,57,15,0,none
acc_000022,2024-01-01,33,26,4,5,0,none
acc_000022,2024-02-01,27,23,0,3,1,product
acc_000022,2024-03-01,47,35,3,5,1,integration
acc_000022,2024-04-01,40,32,5,3,0,none
acc_000022,2024-05-01,25,19,3,5,0,none
acc_000022,2024-06-01,26,22,3,5,1,none
acc_000022,2024-07-01,25,17,1,5,0,none
acc_000022,2024-08-01,32,26,2,3,0,none
acc_000022,2024-09-01,48,41,5,3,0,none
acc_000022,2024-10-01,30,22,1,4,0,none
acc_000022,2024-11-01,23,16,1,4,0,none
acc_000022,2024-12-01,25,20,2,4,0,none
acc_000022,2024-12-01,22,15,2,3,0,none
acc_000022,2025-01-01,32,24,2,4,0,none
acc_000022,2025-03-01,35,31,3,3,0,none
acc_000023,2024-04-01,61,54,6,3,0,none
acc_000023,2024-05-01,38,28,3,4,0,none
acc_000023,2024-06-01,39,31,1,4,0,none
acc_000023,2024-07-01,37,29,4,4,0,none
acc_000023,2024-08-01,33,24,4,5,0,none
acc_000023,2024-09-01,68,52,3,4,0,none
acc_000023,2024-10-01,60,49,2,4,0,none
acc_000023,2024-11-01,34,26,3,5,0,none
acc_000023,2024-12-01,35,28,3,3,0,none
acc_000023,2024-12-01,42,33,1,5,0,none
acc_000023,2025-01-01,35,28,3,4,0,none
acc_000023,2025-03-01,73,52,8,4,0,none
acc_000024,2024-12-01,88,64,8,9,0,none
acc_000024,2024-12-01,82,64,10,8,0,none
acc_000024,2025-01-01,75,57,10,7,0,none
acc_000024,2025-03-01,117,97,16,5,0,none
acc_000025,2024-01-01,103,86,10,7,0,none
acc_000025,2024-02-01,103,86,14,7,0,none
acc_000025,2024-03-01,186,125,24,6,1,product
acc_000025,2024-04-01,159,136,7,7,1,integration
acc_000025,2024-05-01,74,49,9,6,0,none
acc_000025,2024-06-01,78,62,6,7,0,none
acc_000025,2024-07-01,84,66,10,6,0,none
acc_000025,2024-08-01,88,72,11,7,0,none
acc_000025,2024-09-01,170,132,13,5,0,none
acc_000025,2024-10-01,151,111,11,5,0,none
acc_000025,2024-11-01,98,71,12,4,0,none
acc_000025,2024-12-01,72,56,4,4,0,none
acc_000025,2024-12-01,82,55,8,6,0,none
acc_000025,2025-01-01,100,78,14,4,0,none
acc_000025,2025-03-01,157,110,15,4,1,integration
acc_000026,2024-01-01,111,73,18,9,1,product
acc_000026,2024-02-01,124,65,21,6,1,integration
acc_000026,2024-03-01,147,91,11,8,0,none
acc_000026,2024-04-01,179,120,15,9,1,integration
acc_000026,2024-05-01,96,53,10,9,0,none
acc_000026,2024-06-01,109,75,34,11,0,none
acc_000026,2024-07-01,105,70,19,7,0,none
acc_000026,2024-08-01,135,87,35,8,0,none
acc_000026,2024-09-01,150,86,45,6,0,none
acc_000026,2024-10-01,172,90,11,10,1,integration
acc_000026,2024-11-01,122,65,26,6,1,product
acc_000026,2024-12-01,127,72,35,6,0,none
acc_000026,2024-12-01,101,53,25,11,0,none
acc_000026,2025-01-01,39,21,7,3,0,none
acc_000026,2025-03-01,36,22,7,1,0,none
acc_000027,2024-11-01,35,28,4,5,1,none
acc_000027,2024-12-01,39,29,2,4,0,none
acc_000027,2024-12-01,45,29,4,5,0,none
acc_000027,2025-01-01,51,38,5,4,1,none
acc_000027,2025-03-01,66,49,5,6,1,product
acc_000028,2024-02-01,24,23,3,2,0,none
acc_000028,2024-03-01,62,58,8,2,0,none
acc_000028,2024-04-01,50,48,1,2,0,none
acc_000028,2024-05-01,35,32,4,1,0,none
acc_000028,2024-06-01,29,23,2,2,0,none
acc_000028,2024-07-01,25,22,0,1,0,none
acc_000028,2024-08-01,31,27,2,2,0,none
acc_000028,2024-09-01,42,40,3,2,1,integration
acc_000028,2024-10-01,52,47,4,2,0,none
acc_000028,2024-11-01,26,23,3,2,1,none
acc_000028,2024-12-01,28,26,2,2,0,none
acc_000028,2024-12-01,31,24,2,2,0,none
acc_000028,2025-01-01,30,26,3,2,0,none
acc_000028,2025-03-01,63,52,2,2,0,none
acc_000029,2024-01-01,188,140,18,22,0,none
acc_000029,2024-02-01,197,149,19,18,0,none
acc_000029,2024-03-01,357,285,20,19,0,none
acc_000029,2024-04-01,439,354,26,24,0,none
acc_000029,2024-05-01,276,206,33,13,0,none
acc_000029,2024-06-01,224,178,21,19,0,none
acc_000029,2024-07-01,201,182,26,23,0,none
acc_000029,2024-08-01,196,158,5,13,0,none
acc_000029,2024-09-01,299,265,20,13,0,none
acc_000029,2024-10-01,296,251,12,24,0,none
acc_000029,2024-11-01,271,207,21,13,0,none
acc_000029,2024-12-01,189,134,8,14,0,none
acc_000029,2024-12-01,202,168,5,18,0,none
acc_000029,2025-01-01,191,142,18,24,0,none
acc_000029,2025-03-01,357,328,14,23,0,none
acc_000030,2024-08-01,16,11,2,2,0,none
acc_000030,2024-09-01,20,12,1,2,0,none
acc_000030,2024-10-01,22,16,2,3,0,none
acc_000030,2024-11-01,17,12,2,4,0,none
acc_000030,2024-12-01,18,13,2,4,0,none
acc_000030,2024-12-01,18,14,1,3,0,none
acc_000030,2025-01-01,15,9,1,4,0,none
acc_000030,2025-03-01,21,17,1,3,1,product
acc_000031,2025-01-01,231,162,32,14,0,none
acc_000031,2025-03-01,377,294,35,17,0,none
acc_000032,2024-01-01,76,62,3,8,0,none
acc_000032,2024-02-01,73,59,4,7,0,none
acc_000032,2024-03-01,145,120,12,6,0,none
acc_000032,2024-04-01,107,97,11,10,0,none
acc_000032,2024-05-01,66,60,3,7,0,none
acc_000032,2024-06-01,72,62,4,9,0,none
acc_000032,2024-07-01,82,74,5,6,0,none
acc_000032,2024-08-01,60,45,3,8,0,none
acc_000032,2024-09-01,96,75,13,10,0,none
acc_000032,2024-10-01,128,105,17,8,1,none
acc_000032,2024-11-01,69,60,9,10,0,none
acc_000032,2024-12-01,60,51,1,8,0,none
acc_000032,2024-12-01,89,66,2,6,0,none
acc_000032,2025-01-01,60,57,1,7,0,none
acc_000032,2025-03-01,102,95,3,8,0,none
acc_000033,2024-09-01,467,401,47,13,0,none
acc_000033,2024-10-01,367,329,12,9,0,none
acc_000033,2024-11-01,204,187,8,10,0,none
acc_000033,2024-12-01,283,202,21,12,0,none
acc_000033,2024-12-01,282,215,31,11,0,none
acc_000033,2025-01-01,254,206,27,10,0,none
acc_000033,2025-03-01,355,278,8,12,0,none
acc_000034,2024-02-01,11,7,1,1,0,none
acc_000034,2024-03-01,19,13,1,1,0,none
acc_000034,2024-04-01,14,12,1,1,0,none
acc_000034,2024-05-01,11,10,0,1,0,none
acc_000034,2024-06-01,11,10,1,1,0,none
acc_000034,2024-07-01,13,9,0,1,1,product
acc_000034,2024-08-01,10,9,1,1,1,integration
acc_000034,2024-09-01,16,11,2,1,0,none
acc_000034,2024-10-01,17,12,0,1,0,none
acc_000034,2024-11-01,11,7,0,1,0,none
acc_000034,2024-12-01,10,8,1,1,0,none
acc_000034,2024-12-01,10,8,1,1,0,none
acc_000034,2025-01-01,13,11,1,1,0,none
acc_000034,2025-03-01,16,14,1,1,1,product
acc_000035,2024-08-01,56,40,6,3,0,none
acc_000035,2024-09-01,77,57,5,3,0,none
acc_000035,2024-10-01,88,65,5,3,0,none
acc_000035,2024-11-01,64,48,1,4,0,none
acc_000035,2024-12-01,56,46,5,3,0,none
acc_000035,2024-12-01,70,62,9,4,0,none
acc_000035,2025-01-01,60,53,2,2,1,integration
acc_000035,2025-03-01,127,110,8,4,0,none
acc_000036,2024-12-01,99,79,12,4,0,none
acc_000036,2025-01-01,95,81,7,7,0,none
acc_000036,2025-03-01,119,92,16,7,0,none
acc_000037,2024-07-01,34,25,0,1,0,none
acc_000037,2024-08-01,30,21,3,2,0,none
acc_000037,2024-09-01,54,43,2,1,0,none
acc_000037,2024-10-01,48,34,5,2,0,none
acc_000037,2024-11-01,27,22,2,2,0,none
acc_000037,2024-12-01,28,22,0,2,0,none
acc_000037,2024-12-01,30,24,1,2,0,none
acc_000037,2025-01-01,32,28,1,2,0,none
acc_000037,2025-03-01,46,33,5,1,0,none
acc_000038,2024-01-01,22,14,4,4,1,product
acc_000038,2024-02-01,24,12,0,3,1,product
acc_000038,2024-03-01,38,23,2,5,0,none
acc_000038,2024-04-01,39,21,2,4,0,none
acc_000038,2024-05-01,21,12,5,4,0,none
acc_000038,2024-06-01,32,19,6,4,0,none
acc_000038,2024-07-01,28,15,1,4,1,integration
acc_000038,2024-08-01,22,10,1,3,1,integration
acc_000038,2024-09-01,38,22,7,3,1,product
acc_000038,2024-10-01,44,27,6,3,0,none
acc_000038,2024-11-01,25,16,2,4,0,none
acc_000038,2024-12-01,25,12,2,3,0,none
acc_000038,2024-12-01,29,18,7,4,0,none
acc_000038,2025-01-01,10,5,0,2,0,none
acc_000038,2025-03-01,19,10,2,1,0,none
acc_000039,2024-11-01,247,238,10,8,0,none
acc_000039,2024-12-01,317,287,18,10,1,product
acc_000039,2024-12-01,259,209,21,9,0,none
acc_000039,2025-01-01,248,219,7,10,0,none
acc_000039,2025-03-01,387,341,26,9,0,none
acc_000040,2024-01-01,31,23,4,1,1,billing
acc_000040,2024-02-01,26,22,2,2,0,none
acc_000040,2024-03-01,45,38,5,1,1,integration
acc_000040,2024-04-01,46,40,3,1,0,none
acc_000040,2024-05-01,32,27,1,2,0,none
acc_000040,2024-06-01,31,29,1,2,0,none
acc_000040,2024-07-01,23,18,1,1,0,none
acc_000040,2024-08-01,23,20,2,2,1,integration
acc_000040,2024-09-01,34,28,2,1,0,none
acc_000040,2024-10-01,45,43,3,1,0,none
acc_000040,2024-11-01,27,22,2,2,0,none
acc_000040,2024-12-01,30,27,2,1,0,none
acc_000040,2024-12-01,30,21,1,2,1,product
acc_000040,2025-01-01,26,24,3,2,0,none
acc_000040,2025-03-01,49,41,1,2,0,none
acc_000041,2024-06-01,20,17,2,2,0,none
acc_000041,2024-07-01,26,18,1,2,0,none
acc_000041,2024-08-01,22,20,2,2,0,none
acc_000041,2024-09-01,38,29,2,2,0,none
acc_000041,2024-10-01,30,24,4,2,0,none
acc_000041,2024-11-01,23,18,2,2,0,none
acc_000041,2024-12-01,19,13,2,2,1,product
acc_000041,2024-12-01,27,20,3,2,1,product
acc_000041,2025-01-01,27,19,3,2,0,none
acc_000041,2025-03-01,40,30,3,2,1,integration
acc_000042,2024-12-01,35,22,2,1,0,none
acc_000042,2025-01-01,33,21,3,1,0,none
acc_000042,2025-03-01,53,39,6,1,0,none
acc_000043,2024-01-01,18,9,2,2,0,none
acc_000043,2024-02-01,16,10,1,2,0,none
acc_000043,2024-03-01,33,21,10,2,0,none
acc_000043,2024-04-01,26,15,1,2,1,integration
acc_000043,2024-05-01,16,9,1,1,0,none
acc_000043,2024-06-01,16,8,0,1,1,none
acc_000043,2024-07-01,20,11,2,2,0,none
acc_000043,2024-08-01,19,10,4,2,0,none
acc_000043,2024-09-01,22,13,5,2,1,product
acc_000043,2024-10-01,30,15,7,1,0,none
acc_000043,2024-11-01,14,8,0,1,0,none
acc_000043,2024-12-01,14,8,0,2,0,none
acc_000043,2024-12-01,19,9,0,1,0,none
acc_000043,2025-01-01,5,2,0,1,1,integration
acc_000043,2025-03-01,10,5,0,1,0,none
acc_000044,2024-11-01,58,57,7,4,0,none
acc_000044,2024-12-01,68,53,3,6,0,none
acc_000044,2024-12-01,51,46,3,4,0,none
acc_000044,2025-01-01,53,48,4,5,0,none
acc_000044,2025-03-01,87,79,8,3,0,none
acc_000045,2024-04-01,21,16,0,3,0,none
acc_000045,2024-05-01,14,11,0,4,1,none
acc_000045,2024-06-01,13,12,1,4,1,integration
acc_000045,2024-07-01,14,11,0,4,0,none
acc_000045,2024-08-01,13,11,0,3,0,none
acc_000045,2024-09-01,25,24,2,4,0,none
acc_000045,2024-10-01,23,16,1,4,0,none
acc_000045,2024-11-01,16,14,1,2,0,none
acc_000045,2024-12-01,14,12,0,4,0,none
acc_000045,2024-12-01,14,11,1,3,0,none
acc_000045,2025-01-01,15,11,0,3,0,none
acc_000045,2025-03-01,25,20,0,4,0,none
acc_000046,2024-04-01,38,29,2,2,0,none
acc_000046,2024-05-01,25,16,3,3,0,none
acc_000046,2024-06-01,21,14,0,3,1,none
acc_000046,2024-07-01,19,14,1,3,0,none
acc_000046,2024-08-01,24,16,1,3,0,none
acc_000046,2024-09-01,29,21,3,3,0,none
acc_000046,2024-10-01,29,21,3,2,0,none
acc_000046,2024-11-01,20,12,1,2,1,integration
acc_000046,2024-12-01,23,15,2,3,0,none
acc_000046,2024-12-01,20,13,2,3,0,none
acc_000046,2025-01-01,23,16,1,3,0,none
acc_000046,2025-03-01,33,20,3,3,1,none
acc_000047,2024-08-01,69,63,6,10,1,product
acc_000047,2024-09-01,148,141,20,7,0,none
acc_000047,2024-10-01,123,101,7,9,1,none
acc_000047,2024-11-01,82,58,2,8,0,none
acc_000047,2024-12-01,87,77,3,7,0,none
acc_000047,2024-12-01,100,86,10,7,0,none
acc_000047,2025-01-01,68,65,9,7,0,none
acc_000047,2025-03-01,153,124,17,9,0,none
acc_000048,2025-01-01,77,62,10,23,0,none
acc_000048,2025-03-01,136,109,13,23,0,none
acc_000049,2024-05-01,14,11,2,3,0,none
acc_000049,2024-06-01,12,11,1,3,0,none
acc_000049,2024-07-01,14,11,2,2,0,none
acc_000049,2024-08-01,14,12,0,2,0,none
acc_000049,2024-09-01,25,23,1,3,0,none
acc_000049,2024-10-01,17,16,2,2,0,none
acc_000049,2024-11-01,12,10,1,3,0,none
acc_000049,2024-12-01,14,12,1,2,0,none
acc_000049,2024-12-01,15,13,0,2,0,none
acc_000049,2025-01-01,15,12,1,2,0,none
acc_000049,2025-03-01,17,15,0,3,0,none
acc_000050,2024-01-01,116,103,5,6,0,none
acc_000050,2024-02-01,91,70,7,5,0,none
acc_000050,2024-03-01,211,174,10,4,0,none
acc_000050,2024-04-01,143,118,10,6,0,none
acc_000050,2024-05-01,101,96,7,5,1,integration
acc_000050,2024-06-01,123,116,12,7,0,none
acc_000050,2024-07-01,105,95,7,5,0,none
acc_000050,2024-08-01,94,73,8,5,0,none
acc_000050,2024-09-01,178,147,9,7,1,none
acc_000050,2024-10-01,143,117,11,4,0,none
acc_000050,2024-11-01,85,79,6,5,0,none
acc_000050,2024-12-01,103,78,3,5,0,none
acc_000050,2024-12-01,93,84,2,6,0,none
acc_000050,2025-01-01,112,81,14,6,0,none
acc_000050,2025-03-01,148,124,7,5,0,none
acc_000051,2024-01-01,265,244,17,15,0,none
acc_000051,2024-02-01,249,230,35,16,1,integration
acc_000051,2024-03-01,551,537,13,16,0,none
acc_000051,2024-04-01,374,285,19,15,0,none
acc_000051,2024-05-01,302,291,9,18,0,none
acc_000051,2024-06-01,284,256,20,15,1,integration
acc_000051,2024-07-01,304,252,14,22,0,none
acc_000051,2024-08-01,258,222,15,15,0,none
acc_000051,2024-09-01,502,476,36,17,1,none
acc_000051,2024-10-01,456,421,60,21,0,none
acc_000051,2024-11-01,243,221,28,19,0,none
acc_000051,2024-12-01,266,241,18,17,0,none
acc_000051,2024-12-01,258,204,12,14,0,none
acc_000051,2025-01-01,292,232,21,14,1,product
acc_000051,2025-03-01,392,348,16,13,0,none
acc_000052,2024-01-01,155,137,10,6,0,none
acc_000052,2024-02-01,154,123,14,5,0,none
acc_000052,2024-03-01,211,172,12,6,1,product
