event_id,user_id,account_id,feature_name,meal_category,event_type,timestamp
evt_00069942,usr_0001262,acc_000788,recipe_browse,snack,used,2023-10-25 06:07:50
evt_00112174,usr_0002038,acc_001260,recipe_browse,lunch,used,2024-02-09 16:00:56
evt_00041889,usr_0000767,acc_000485,grocery_sync,,used,2023-08-27 16:55:29
evt_00066138,usr_0001204,acc_000748,grocery_sync,,used,2024-03-21 09:34:41
evt_00089040,usr_0001596,acc_000990,recipe_browse,dinner,used,2024-04-19 07:00:31
evt_00065280,usr_0001181,acc_000735,nutritional_info,,used,2023-06-24 21:50:29
evt_00000411,usr_0000012,acc_000007,collection_create,,used,2022-10-10 15:53:17
evt_00083484,usr_0001501,acc_000929,meal_swap,breakfast,used,2023-12-18 14:21:15
evt_00007999,usr_0000141,acc_000093,dietary_filter,,used,2024-01-23 08:18:34
evt_00142516,usr_0002592,acc_001611,nutritional_info,,abandoned,2023-09-25 06:18:36
evt_00150091,usr_0002719,acc_001691,recipe_browse,dinner,used,2023-08-29 08:10:33
evt_00071544,usr_0001286,acc_000805,collection_create,,used,2024-04-29 18:16:07
evt_00041146,usr_0000750,acc_000473,grocery_sync,,used,2024-02-27 16:43:42
evt_00114037,usr_0002071,acc_001280,recipe_import,,blocked,2024-04-09 08:09:38
evt_00084918,usr_0001526,acc_000946,meal_plan_builder,dinner,abandoned,2024-01-04 17:09:27
evt_00036304,usr_0000658,acc_000413,nutritional_info,,used,2024-04-22 07:15:27
evt_00056075,usr_0001029,acc_000645,dietary_filter,,used,2023-11-08 16:35:02
evt_00010853,usr_0000196,acc_000128,recipe_browse,dinner,used,2023-10-29 21:38:57
evt_00144504,usr_0002628,acc_001632,recipe_browse,breakfast,used,2023-10-06 14:25:59
evt_00010219,usr_0000182,acc_000120,recipe_browse,dinner,used,2024-03-09 08:20:33
evt_00066034,usr_0001200,acc_000746,grocery_sync,,used,2023-12-09 06:37:48
evt_00046136,usr_0000845,acc_000534,grocery_sync,,used,2022-12-12 17:36:42
evt_00009566,usr_0000170,acc_000113,collection_create,,used,2024-04-26 18:37:17
evt_00114499,usr_0002085,acc_001286,nutritional_info,,abandoned,2024-04-02 20:11:51
evt_00054361,usr_0000999,acc_000624,recipe_browse,lunch,used,2024-03-13 22:50:19
evt_00097798,usr_0001775,acc_001098,nutritional_info,,used,2024-01-04 06:46:24
evt_00053968,usr_0000996,acc_000622,meal_plan_builder,dessert,used,2024-05-24 17:51:35
evt_00072461,usr_0001303,acc_000814,meal_plan_builder,lunch,used,2023-11-30 10:01:18
evt_00037382,usr_0000678,acc_000427,recipe_import,,used,2024-03-29 08:00:19
evt_00006879,usr_0000129,acc_000083,dietary_filter,,used,2023-10-12 07:15:51
evt_00059186,usr_0001078,acc_000674,recipe_browse,lunch,used,2024-04-29 09:57:34
evt_00036861,usr_0000665,acc_000418,dietary_filter,,used,2024-05-10 12:23:41
evt_00057412,usr_0001050,acc_000658,meal_plan_builder,dessert,used,2024-03-26 19:30:51
evt_00061608,usr_0001123,acc_000702,meal_plan_builder,dinner,used,2024-04-18 17:14:57
evt_00074121,usr_0001327,acc_000828,dietary_filter,,used,2023-12-04 15:24:02
evt_00109444,usr_0001983,acc_001229,recipe_browse,dinner,used,2024-05-24 09:26:42
evt_00001652,usr_0000036,acc_000021,dietary_filter,,abandoned,2024-05-23 06:52:36
evt_00032496,usr_0000598,acc_000376,collection_create,,used,2022-11-06 08:11:31
evt_00032574,usr_0000599,acc_000376,recipe_import,,used,2023-12-31 20:17:48
evt_00155552,usr_0002824,acc_001752,dietary_filter,,used,2024-05-25 16:14:20
evt_00073352,usr_0001318,acc_000822,meal_plan_builder,breakfast,used,2023-11-18 20:31:52
evt_00006248,usr_0000117,acc_000076,dietary_filter,,used,2023-07-06 16:46:44
evt_00048494,usr_0000898,acc_000566,dietary_filter,,used,2024-01-22 13:21:22
evt_00110903,usr_0002019,acc_001248,dietary_filter,,abandoned,2022-10-29 08:40:25
evt_00108524,usr_0001958,acc_001214,collection_create,,blocked,2023-09-23 22:32:19
evt_00051378,usr_0000959,acc_000598,nutritional_info,,used,2023-06-04 17:27:17
evt_00028328,usr_0000520,acc_000332,recipe_browse,breakfast,used,2024-05-09 08:27:37
evt_00048254,usr_0000892,acc_000564,grocery_sync,,used,2023-10-20 19:11:17
evt_00041541,usr_0000763,acc_000482,recipe_browse,breakfast,used,2024-02-03 18:23:38
evt_00079887,usr_0001430,acc_000888,dietary_filter,,abandoned,2024-02-27 20:14:44
evt_00134322,usr_0002460,acc_001520,recipe_browse,lunch,used,2024-03-25 18:19:02
evt_00116574,usr_0002120,acc_001310,recipe_import,,blocked,2024-03-08 22:09:55
evt_00137935,usr_0002516,acc_001558,recipe_browse,dinner,used,2023-09-17 22:46:44
evt_00080913,usr_0001448,acc_000902,nutritional_info,,used,2024-05-05 13:39:36
evt_00115300,usr_0002103,acc_001297,meal_swap,dinner,used,2024-02-03 07:16:49
evt_00150770,usr_0002729,acc_001698,recipe_browse,dinner,used,2023-12-30 20:55:09
evt_00018714,usr_0000331,acc_000218,recipe_browse,snack,abandoned,2024-01-25 16:06:59
evt_00129553,usr_0002362,acc_001461,meal_plan_builder,dinner,used,2023-11-02 06:35:37
evt_00034292,usr_0000625,acc_000394,nutritional_info,,used,2022-07-28 08:35:54
evt_00116379,usr_0002117,acc_001308,nutritional_info,,abandoned,2024-03-21 15:06:40
evt_00155653,usr_0002830,acc_001754,recipe_import,,abandoned,2024-01-24 12:09:30
evt_00091082,usr_0001638,acc_001014,meal_plan_builder,lunch,used,2023-03-25 20:07:09
evt_00096868,usr_0001752,acc_001084,meal_plan_builder,dinner,used,2023-12-29 17:47:03
evt_00149555,usr_0002712,acc_001686,meal_plan_builder,dinner,abandoned,2024-01-22 14:44:42
evt_00011057,usr_0000197,acc_000129,recipe_browse,dinner,used,2024-05-08 06:21:26
evt_00036108,usr_0000653,acc_000411,collection_create,,used,2023-09-10 06:26:40
evt_00059245,usr_0001080,acc_000675,meal_plan_builder,lunch,used,2023-09-22 10:41:46
evt_00042735,usr_0000784,acc_000495,collection_create,,blocked,2024-04-14 09:47:36
evt_00006285,usr_0000117,acc_000076,meal_plan_builder,lunch,used,2023-03-13 09:50:52
evt_00011268,usr_0000205,acc_000133,meal_plan_builder,lunch,abandoned,2024-01-08 22:19:14
evt_00031519,usr_0000587,acc_000367,recipe_import,,abandoned,2024-04-07 11:04:30
evt_00109726,usr_0001988,acc_001233,meal_plan_builder,lunch,used,2024-05-09 22:30:59
evt_00101975,usr_0001835,acc_001137,collection_create,,used,2023-05-25 08:28:44
evt_00096584,usr_0001744,acc_001081,dietary_filter,,abandoned,2023-01-23 07:48:22
evt_00141272,usr_0002577,acc_001598,collection_create,,blocked,2022-10-14 21:05:13
evt_00084043,usr_0001510,acc_000935,meal_swap,lunch,used,2023-06-26 13:15:20
evt_00083065,usr_0001496,acc_000924,meal_swap,dinner,used,2024-01-01 19:34:46
evt_00022665,usr_0000412,acc_000266,meal_plan_builder,breakfast,used,2024-05-03 20:05:30
evt_00028769,usr_0000534,acc_000337,dietary_filter,,abandoned,2024-01-04 06:02:40
evt_00094840,usr_0001705,acc_001053,recipe_browse,dinner,used,2024-02-18 13:53:54
evt_00072411,usr_0001303,acc_000814,recipe_browse,dinner,used,2024-04-25 17:32:52
evt_00116629,usr_0002124,acc_001312,meal_plan_builder,breakfast,used,2023-07-15 22:10:08
evt_00106251,usr_0001920,acc_001186,recipe_browse,lunch,used,2024-01-25 19:41:42
evt_00029638,usr_0000552,acc_000346,grocery_sync,,used,2023-12-08 18:42:58
evt_00004983,usr_0000090,acc_000060,recipe_browse,dinner,used,2023-03-27 15:38:19
evt_00138221,usr_0002520,acc_001561,recipe_browse,dinner,used,2024-02-14 07:40:56
evt_00133484,usr_0002438,acc_001508,nutritional_info,,used,2024-04-18 19:32:09
evt_00008551,usr_0000150,acc_000101,dietary_filter,,used,2024-05-17 17:25:27
evt_00047321,usr_0000864,acc_000549,meal_plan_builder,dinner,used,2023-01-08 22:57:00
evt_00094659,usr_0001694,acc_001050,meal_plan_builder,dinner,used,2024-04-29 15:12:51
evt_00133779,usr_0002443,acc_001512,meal_plan_builder,dinner,abandoned,2024-01-11 08:59:30
evt_00024961,usr_0000455,acc_000297,recipe_browse,lunch,used,2024-05-05 17:02:13
evt_00150106,usr_0002719,acc_001691,grocery_sync,,blocked,2023-05-20 09:33:50
evt_00035908,usr_0000651,acc_000409,dietary_filter,,used,2024-01-15 19:38:44
evt_00064383,usr_0001163,acc_000725,dietary_filter,,used,2024-04-16 15:13:01
evt_00101451,usr_0001828,acc_001132,meal_swap,dessert,abandoned,2024-03-10 07:32:24
evt_00079420,usr_0001421,acc_000884,dietary_filter,,used,2024-05-07 18:55:20
evt_00041178,usr_0000751,acc_000474,nutritional_info,,used,2023-01-22 13:28:49
evt_00129756,usr_0002365,acc_001463,nutritional_info,,used,2023-09-22 15:31:59
evt_00076850,usr_0001382,acc_000858,meal_plan_builder,lunch,abandoned,2023-02-22 07:41:52
evt_00090743,usr_0001629,acc_001008,nutritional_info,,used,2023-07-17 15:13:56
evt_00139051,usr_0002539,acc_001572,recipe_browse,dinner,used,2023-06-09 06:20:38
evt_00131736,usr_0002403,acc_001488,recipe_browse,lunch,used,2024-02-12 22:22:26
evt_00120513,usr_0002180,acc_001355,recipe_browse,dessert,used,2023-05-22 19:33:54
evt_00073392,usr_0001318,acc_000822,meal_plan_builder,lunch,used,2023-09-24 08:23:25
evt_00040346,usr_0000733,acc_000463,meal_plan_builder,lunch,used,2023-12-23 20:51:45
evt_00046832,usr_0000858,acc_000544,dietary_filter,,used,2024-05-21 18:28:43
evt_00010592,usr_0000190,acc_000123,meal_plan_builder,dessert,used,2024-03-23 06:35:17
evt_00133296,usr_0002436,acc_001506,grocery_sync,,blocked,2024-01-23 06:25:30
evt_00086866,usr_0001554,acc_000964,meal_plan_builder,breakfast,used,2023-01-09 22:44:29
evt_00014701,usr_0000269,acc_000179,recipe_browse,dinner,used,2023-01-06 07:16:23
evt_00045188,usr_0000822,acc_000519,nutritional_info,,used,2023-06-29 07:58:03
evt_00036070,usr_0000653,acc_000411,nutritional_info,,used,2023-09-18 06:46:37
evt_00140601,usr_0002565,acc_001591,collection_create,,blocked,2023-12-21 20:19:01
evt_00106247,usr_0001920,acc_001186,recipe_browse,lunch,used,2023-10-25 18:30:22
evt_00035185,usr_0000641,acc_000403,recipe_import,,abandoned,2023-10-11 15:29:34
evt_00030236,usr_0000559,acc_000352,collection_create,,used,2024-03-27 22:50:11
evt_00115678,usr_0002106,acc_001300,meal_plan_builder,dinner,abandoned,2024-04-04 14:47:33
evt_00090151,usr_0001617,acc_001002,dietary_filter,,used,2023-11-11 10:07:39
evt_00058784,usr_0001071,acc_000671,nutritional_info,,abandoned,2024-04-30 08:25:17
evt_00087408,usr_0001567,acc_000971,recipe_browse,lunch,used,2023-07-26 12:17:03
evt_00011376,usr_0000206,acc_000134,recipe_browse,breakfast,used,2024-05-04 18:11:40
evt_00047049,usr_0000860,acc_000546,nutritional_info,,used,2022-08-23 15:04:36
evt_00017583,usr_0000315,acc_000206,nutritional_info,,used,2024-05-14 14:41:10
evt_00039706,usr_0000721,acc_000455,dietary_filter,,used,2024-02-10 19:01:33
evt_00108104,usr_0001949,acc_001208,recipe_browse,dessert,used,2023-08-04 16:44:25
evt_00127514,usr_0002324,acc_001436,meal_plan_builder,dessert,used,2023-10-26 14:00:50
evt_00095568,usr_0001719,acc_001064,nutritional_info,,used,2023-12-01 13:28:11
evt_00073129,usr_0001315,acc_000820,collection_create,,abandoned,2024-01-05 19:14:44
evt_00004141,usr_0000077,acc_000051,recipe_browse,breakfast,abandoned,2024-01-04 16:43:07
evt_00108141,usr_0001953,acc_001210,nutritional_info,,used,2023-03-19 07:06:03
evt_00038596,usr_0000700,acc_000443,recipe_browse,dinner,used,2023-12-20 22:40:59
evt_00036847,usr_0000665,acc_000418,recipe_browse,lunch,used,2024-03-22 15:27:21
evt_00145637,usr_0002649,acc_001643,nutritional_info,,used,2024-03-21 22:13:49
evt_00049353,usr_0000914,acc_000575,recipe_browse,lunch,used,2023-05-29 17:03:52
evt_00135731,usr_0002487,acc_001534,nutritional_info,,used,2023-10-25 10:04:58
evt_00023415,usr_0000433,acc_000280,meal_swap,dinner,used,2024-05-23 12:10:41
evt_00062886,usr_0001136,acc_000711,nutritional_info,,abandoned,2022-09-27 08:02:16
evt_00127630,usr_0002325,acc_001437,recipe_browse,lunch,used,2024-03-26 07:29:57
evt_00151288,usr_0002741,acc_001705,dietary_filter,,used,2023-12-02 06:29:31
evt_00088867,usr_0001591,acc_000986,meal_plan_builder,dessert,used,2024-03-15 10:23:16
evt_00057224,usr_0001048,acc_000657,recipe_browse,dessert,used,2022-10-28 14:39:55
evt_00154619,usr_0002806,acc_001742,meal_plan_builder,breakfast,used,2023-01-29 07:13:48
evt_00158601,usr_0002884,acc_001784,meal_plan_builder,dinner,used,2023-03-27 20:48:30
evt_00031653,usr_0000589,acc_000369,recipe_browse,dinner,used,2024-05-30 07:49:28
evt_00108708,usr_0001961,acc_001216,recipe_import,,abandoned,2023-02-21 21:01:18
evt_00113760,usr_0002063,acc_001276,meal_plan_builder,breakfast,used,2024-03-19 07:16:33
evt_00072557,usr_0001311,acc_000817,meal_swap,breakfast,used,2023-04-14 18:57:36
evt_00107277,usr_0001936,acc_001198,nutritional_info,,used,2023-05-03 07:04:10
evt_00047275,usr_0000863,acc_000548,meal_plan_builder,dinner,abandoned,2023-02-10 21:16:22
evt_00059212,usr_0001078,acc_000674,nutritional_info,,abandoned,2024-03-15 19:30:32
evt_00100954,usr_0001815,acc_001125,recipe_browse,dinner,used,2024-05-24 21:27:10
evt_00136139,usr_0002491,acc_001538,recipe_browse,dessert,used,2024-05-07 18:36:09
evt_00118281,usr_0002152,acc_001333,dietary_filter,,used,2024-05-05 19:09:24
evt_00037203,usr_0000673,acc_000424,meal_plan_builder,dinner,used,2023-12-16 18:57:04
evt_00154628,usr_0002808,acc_001742,meal_plan_builder,dinner,used,2023-04-06 12:09:20
evt_00084709,usr_0001517,acc_000942,grocery_sync,,abandoned,2023-12-24 16:04:58
evt_00080700,usr_0001443,acc_000898,collection_create,,abandoned,2023-07-21 16:19:43
evt_00066416,usr_0001210,acc_000752,meal_plan_builder,breakfast,used,2024-01-11 06:33:06
evt_00078315,usr_0001402,acc_000873,nutritional_info,,used,2023-06-26 06:03:41
evt_00144100,usr_0002619,acc_001628,recipe_browse,dinner,used,2023-05-24 22:29:36
evt_00061713,usr_0001124,acc_000703,recipe_browse,snack,used,2024-03-05 11:01:47
evt_00142183,usr_0002588,acc_001608,meal_plan_builder,dinner,used,2024-05-04 21:14:50
evt_00042204,usr_0000778,acc_000491,recipe_browse,dinner,used,2024-03-31 08:04:08
evt_00032478,usr_0000599,acc_000376,meal_plan_builder,dessert,used,2023-03-26 12:42:16
evt_00008747,usr_0000156,acc_000103,dietary_filter,,used,2023-07-12 13:43:42
evt_00059823,usr_0001088,acc_000682,grocery_sync,,used,2024-04-19 18:36:52
evt_00010972,usr_0000198,acc_000129,recipe_browse,dinner,used,2023-06-06 17:47:54
evt_00117521,usr_0002136,acc_001322,recipe_import,,abandoned,2023-11-23 06:49:42
evt_00061623,usr_0001123,acc_000702,dietary_filter,,used,2024-03-25 07:11:09
evt_00022237,usr_0000403,acc_000261,recipe_browse,lunch,used,2023-07-13 08:11:30
evt_00120022,usr_0002172,acc_001350,recipe_browse,lunch,used,2024-05-29 08:01:32
evt_00131224,usr_0002393,acc_001481,collection_create,,blocked,2024-01-26 06:42:43
evt_00094003,usr_0001684,acc_001045,meal_swap,dinner,abandoned,2023-12-04 10:53:51
evt_00071206,usr_0001281,acc_000802,nutritional_info,,used,2023-05-18 07:25:59
evt_00111663,usr_0002028,acc_001254,recipe_import,,used,2023-02-27 11:28:05
evt_00123308,usr_0002241,acc_001388,grocery_sync,,abandoned,2024-05-16 07:46:56
evt_00018000,usr_0000320,acc_000210,recipe_browse,lunch,used,2023-04-04 20:20:15
evt_00051326,usr_0000958,acc_000597,recipe_import,,blocked,2024-04-27 21:27:11
evt_00019943,usr_0000353,acc_000231,meal_plan_builder,lunch,used,2024-03-13 18:02:45
evt_00003244,usr_0000063,acc_000039,recipe_browse,breakfast,used,2024-05-04 19:48:54
evt_00107670,usr_0001944,acc_001204,dietary_filter,,used,2023-02-25 21:28:40
evt_00148285,usr_0002693,acc_001670,dietary_filter,,used,2023-04-01 06:01:48
evt_00018967,usr_0000334,acc_000221,nutritional_info,,used,2024-02-24 15:46:41
evt_00002446,usr_0000049,acc_000030,nutritional_info,,used,2024-06-01 08:53:40
evt_00076302,usr_0001370,acc_000852,meal_plan_builder,dinner,abandoned,2024-01-09 07:15:31
evt_00153419,usr_0002784,acc_001729,nutritional_info,,abandoned,2022-12-20 18:47:36
evt_00093904,usr_0001683,acc_001044,collection_create,,blocked,2024-05-29 06:23:46
evt_00043686,usr_0000800,acc_000507,grocery_sync,,used,2023-04-27 22:39:41
evt_00065037,usr_0001173,acc_000731,meal_swap,dinner,abandoned,2023-06-25 20:14:31
evt_00055141,usr_0001015,acc_000635,grocery_sync,,used,2024-05-28 22:18:29
evt_00054174,usr_0000998,acc_000623,grocery_sync,,used,2024-04-24 15:17:45
evt_00097779,usr_0001775,acc_001098,meal_plan_builder,lunch,used,2024-04-16 07:41:00
evt_00120006,usr_0002172,acc_001350,dietary_filter,,used,2023-08-05 13:44:30
evt_00034606,usr_0000629,acc_000397,recipe_browse,lunch,used,2024-03-24 19:26:35
evt_00082709,usr_0001491,acc_000920,meal_swap,snack,used,2024-01-29 15:57:47
evt_00080091,usr_0001431,acc_000889,nutritional_info,,used,2023-06-03 10:06:51
evt_00024312,usr_0000444,acc_000288,meal_plan_builder,breakfast,used,2024-01-31 12:34:59
evt_00121712,usr_0002210,acc_001368,collection_create,,used,2023-11-14 22:08:42
evt_00113474,usr_0002059,acc_001274,dietary_filter,,used,2024-04-07 13:00:59
evt_00097679,usr_0001771,acc_001095,dietary_filter,,used,2024-04-10 06:18:51
evt_00099292,usr_0001793,acc_001110,meal_swap,snack,used,2023-12-26 20:47:27
evt_00006864,usr_0000130,acc_000083,recipe_browse,breakfast,abandoned,2023-06-09 13:33:52
evt_00018660,usr_0000330,acc_000217,recipe_browse,lunch,used,2024-02-13 13:28:15
evt_00055238,usr_0001017,acc_000636,recipe_browse,dinner,used,2023-05-27 15:11:53
evt_00124939,usr_0002272,acc_001407,dietary_filter,,abandoned,2023-12-31 19:24:16
evt_00052181,usr_0000971,acc_000606,grocery_sync,,used,2024-04-29 21:46:37
evt_00057690,usr_0001056,acc_000663,dietary_filter,,used,2022-09-20 17:24:01
evt_00060765,usr_0001105,acc_000692,nutritional_info,,used,2024-01-30 22:24:12
evt_00087994,usr_0001581,acc_000979,meal_plan_builder,lunch,abandoned,2024-02-19 14:50:33
evt_00093238,usr_0001671,acc_001036,nutritional_info,,used,2024-02-08 12:39:45
evt_00008731,usr_0000156,acc_000103,meal_plan_builder,snack,used,2024-04-11 14:09:15
evt_00050370,usr_0000938,acc_000587,meal_plan_builder,dessert,abandoned,2024-01-01 17:33:19
evt_00155642,usr_0002829,acc_001754,meal_plan_builder,lunch,used,2023-07-27 13:23:21
evt_00025756,usr_0000470,acc_000304,recipe_browse,lunch,used,2023-10-23 19:04:51
evt_00004925,usr_0000090,acc_000060,recipe_browse,dinner,used,2024-02-22 08:36:12
evt_00105520,usr_0001909,acc_001176,recipe_browse,dinner,used,2024-04-06 21:21:20
evt_00052808,usr_0000979,acc_000612,dietary_filter,,used,2024-03-15 22:42:20
evt_00031049,usr_0000579,acc_000362,recipe_browse,lunch,used,2024-01-18 09:54:34
evt_00071581,usr_0001286,acc_000805,grocery_sync,,abandoned,2024-05-20 09:15:44
evt_00069997,usr_0001262,acc_000788,meal_plan_builder,lunch,used,2024-02-08 18:28:09
evt_00007595,usr_0000138,acc_000090,meal_plan_builder,snack,used,2023-12-08 20:14:36
evt_00117005,usr_0002129,acc_001317,recipe_import,,blocked,2024-02-29 10:45:27
evt_00145028,usr_0002633,acc_001636,recipe_browse,dinner,used,2023-05-09 08:15:32
evt_00030075,usr_0000556,acc_000349,meal_plan_builder,breakfast,used,2024-03-17 17:46:14
evt_00140233,usr_0002559,acc_001585,recipe_import,,blocked,2023-12-25 12:28:33
evt_00046693,usr_0000857,acc_000543,dietary_filter,,abandoned,2024-02-21 21:20:23
evt_00046712,usr_0000858,acc_000544,meal_plan_builder,snack,used,2024-05-31 19:40:23
evt_00032251,usr_0000596,acc_000374,meal_plan_builder,dinner,used,2023-11-11 13:47:26
evt_00087965,usr_0001580,acc_000978,recipe_browse,lunch,used,2024-04-03 06:21:48
evt_00089388,usr_0001603,acc_000995,recipe_browse,breakfast,abandoned,2024-05-17 20:55:59
evt_00159794,usr_0002901,acc_001797,recipe_browse,dinner,used,2024-05-06 16:19:55
evt_00133586,usr_0002439,acc_001509,recipe_browse,dinner,used,2024-02-15 07:14:27
evt_00084499,usr_0001513,acc_000938,recipe_browse,breakfast,used,2024-04-30 12:52:52
evt_00123335,usr_0002241,acc_001388,recipe_browse,lunch,used,2024-03-13 20:04:56
evt_00004334,usr_0000082,acc_000054,recipe_browse,lunch,used,2023-05-31 14:38:54
evt_00147512,usr_0002682,acc_001662,nutritional_info,,used,2024-01-29 11:20:32
evt_00111123,usr_0002020,acc_001249,grocery_sync,,blocked,2024-04-16 22:59:04
evt_00116178,usr_0002113,acc_001306,nutritional_info,,used,2024-02-24 21:32:35
evt_00130315,usr_0002374,acc_001469,recipe_browse,snack,used,2023-07-02 11:45:37
evt_00154851,usr_0002813,acc_001744,meal_plan_builder,lunch,used,2023-04-08 12:45:20
evt_00088736,usr_0001591,acc_000986,recipe_browse,dinner,used,2024-04-29 17:41:09
evt_00107928,usr_0001947,acc_001206,meal_plan_builder,snack,used,2023-11-02 19:28:52
evt_00131606,usr_0002401,acc_001487,collection_create,,used,2023-07-04 11:17:35
evt_00136164,usr_0002493,acc_001539,grocery_sync,,used,2023-09-28 10:57:13
evt_00154222,usr_0002796,acc_001737,recipe_browse,dinner,used,2022-08-19 18:31:05
evt_00116864,usr_0002128,acc_001316,nutritional_info,,used,2024-02-09 06:10:18
evt_00156497,usr_0002842,acc_001761,nutritional_info,,used,2024-02-28 22:00:46
evt_00091169,usr_0001638,acc_001014,meal_swap,snack,used,2024-02-16 19:35:20
evt_00078988,usr_0001414,acc_000879,meal_plan_builder,lunch,abandoned,2024-01-24 20:33:33
evt_00129399,usr_0002361,acc_001460,meal_plan_builder,lunch,used,2024-01-10 13:15:48
evt_00110935,usr_0002018,acc_001248,nutritional_info,,used,2024-04-04 06:03:57
evt_00018736,usr_0000332,acc_000219,meal_swap,dinner,used,2024-04-14 15:07:24
evt_00107494,usr_0001940,acc_001201,meal_plan_builder,lunch,used,2023-02-06 22:22:14
evt_00068178,usr_0001234,acc_000769,collection_create,,used,2024-02-01 22:18:07
evt_00106921,usr_0001925,acc_001191,nutritional_info,,abandoned,2024-03-11 20:31:06
evt_00045734,usr_0000836,acc_000529,nutritional_info,,used,2023-04-27 12:12:30
evt_00056851,usr_0001043,acc_000654,grocery_sync,,used,2024-04-18 19:06:37
evt_00100046,usr_0001803,acc_001117,recipe_browse,lunch,used,2024-04-14 06:29:30
evt_00080391,usr_0001437,acc_000894,recipe_browse,lunch,used,2023-02-21 11:00:54
evt_00071452,usr_0001283,acc_000804,grocery_sync,,used,2024-05-14 06:56:22
evt_00025390,usr_0000461,acc_000299,recipe_browse,breakfast,used,2023-09-08 21:14:46
evt_00094459,usr_0001691,acc_001048,meal_plan_builder,dinner,abandoned,2024-04-02 16:34:57
